ZIPcode5,PropertyLocation,TotalValue,SQFTmain,Units,Bedrooms,Bathrooms,EffectiveYearBuilt,rowID,RecordingDate,TaxRateArea_CITY,house_type,pool,coordinates
90275,1 W POMEGRANATE RD  RNCHO PALOS VRDS CA  90275,606063.0,1958,1,2,2,1970,20177572017017,2016-07-26,RANCHO PALOS VERDES,house,no,"(33.742889060000003, -118.36943728999999)"
90275,19 VIA SAN REMO  RNCHO PALOS VRDS CA  90275,920000.0,2282,1,3,3,1989,20177573001053,2016-07-01,RANCHO PALOS VERDES,condo,no,"(33.747799559999997, -118.40511798)"
90275,"32679 SEAGATE DR, 101  RNCHO PALOS VRDS CA  90275",554526.0,1736,1,2,2,1965,20177573012025,2016-07-27,RANCHO PALOS VERDES,condo,no,"(33.741884650000003, -118.38869188)"
90275,"32709 SEAGATE DR, 108  RNCHO PALOS VRDS CA  90275",553673.0,1565,1,2,2,1965,20177573012032,2016-07-06,RANCHO PALOS VERDES,condo,no,"(33.741884650000003, -118.38869188)"
90275,"32614 COASTSITE DR, 104  RNCHO PALOS VRDS CA  90275",640000.0,1565,1,2,2,1965,20177573012088,2016-07-19,RANCHO PALOS VERDES,condo,no,"(33.741884650000003, -118.38869188)"
90275,"32614 COASTSITE DR, 307  RANCHO PALOS VERDES CA  90275",376506.0,1433,1,2,2,1965,20177573012243,2016-07-21,RANCHO PALOS VERDES,condo,no,"(33.741884650000003, -118.38869188)"
90275,6506 SANDY POINT CT  RNCHO PALOS VRDS CA  90275,1210000.0,2712,1,3,3,1988,20177573013045,2016-07-11,RANCHO PALOS VERDES,pud,no,"(33.743783829999998, -118.39160445)"
90275,6519 SANDY POINT CT  RNCHO PALOS VRDS CA  90275,1291000.0,3036,1,4,3,1987,20177573013056,2016-07-01,RANCHO PALOS VERDES,pud,no,"(33.743968580000001, -118.39256064)"
90275,32706 VIA PALACIO  RNCHO PALOS VRDS CA  90275,1450000.0,3556,1,3,4,1984,20177573017060,2016-07-08,RANCHO PALOS VERDES,pud,no,"(33.741678739999998, -118.39093419999999)"
90275,6502 VIA BARON  RNCHO PALOS VRDS CA  90275,1890000.0,4596,1,4,5,1984,20177573017074,2016-07-26,RANCHO PALOS VERDES,pud,no,"(33.741114940000003, -118.39121509)"
90275,5731 MISTRIDGE DR  RNCHO PALOS VRDS CA  90275,158385.0,2718,1,4,3,1968,20177574005018,2016-07-15,RANCHO PALOS VERDES,house,no,"(33.767847789999998, -118.37772986)"
90275,29203 BEACHSIDE DR  RNCHO PALOS VRDS CA  90275,1320000.0,2488,1,4,3,1977,20177574008018,2016-07-29,RANCHO PALOS VERDES,house,no,"(33.765054880000001, -118.37457256)"
90275,29352 WHITLEY COLLINS DR  RNCHO PALOS VRDS CA  90275,852999.0,2803,1,4,3,1964,20177574009010,2016-07-26,RANCHO PALOS VERDES,house,no,"(33.764615050000003, -118.37617523999999)"
90275,29404 STONECREST RD  RNCHO PALOS VRDS CA  90275,745796.0,2802,1,5,4,1970,20177574012026,2016-07-27,RANCHO PALOS VERDES,house,yes,"(33.7638593, -118.37855422)"
90275,29635 STONECREST RD  RNCHO PALOS VRDS CA  90275,1316000.0,2448,1,4,3,1964,20177574014014,2016-07-01,RANCHO PALOS VERDES,house,no,"(33.760977200000006, -118.37720908)"
90275,5704 SUNMIST DR  RNCHO PALOS VRDS CA  90275,1350000.0,2468,1,5,3,1964,20177574015044,2016-07-20,RANCHO PALOS VERDES,house,yes,"(33.760514659999998, -118.37485092)"
90275,5634 SUNMIST DR  RNCHO PALOS VRDS CA  90275,1455000.0,2654,1,4,3,1965,20177574016047,2016-07-28,RANCHO PALOS VERDES,house,no,"(33.762192720000002, -118.37228962)"
90275,5650 SUNMIST DR  RNCHO PALOS VRDS CA  90275,822300.0,2539,1,4,3,1968,20177574016048,2016-07-06,RANCHO PALOS VERDES,house,yes,"(33.761900410000003, -118.37286582)"
90274,19 RANCHVIEW RD  ROLLING HILLS ES CA  90274,1011740.0,2137,1,5,2,1957,20177575015022,2016-07-07,ROLLING HILLS ESTATES,house,no,"(33.784422319999997, -118.35674426)"
90274,21 RANCHVIEW RD  ROLLING HILLS ES CA  90274,1560179.0,2003,1,3,2,1957,20177575015023,2016-07-07,ROLLING HILLS ESTATES,house,no,"(33.784584629999998, -118.3570409)"
90274,20 PALOS VERDES LN  ROLLING HILLS ES CA  90274,1267478.0,3018,1,4,3,1980,20177575016009,2016-07-08,ROLLING HILLS ESTATES,house,no,"(33.786408860000002, -118.35812357)"
90274,4112 QUINLIN DR  PALOS VERDES CA  90274,1305000.0,2063,1,3,2,1973,20177575022077,2016-07-26,unincorporated,house,no,"(33.780981320000002, -118.35520674999999)"
90274,4128 ROESSLER CT  PALOS VERDES PNSLA CA  90274,1655000.0,3104,1,5,4,1977,20177575023051,2016-07-26,unincorporated,house,yes,"(33.780358100000001, -118.35592578000001)"
90274,4207 ROUSSEAU LN  PALOS VERDES PNSLA CA  90274,948298.0,2063,1,3,2,1972,20177575025030,2016-07-22,unincorporated,house,yes,"(33.779777860000003, -118.35767571)"
90274,4923 ROCKBLUFF DR  ROLLING HILLS ES CA  90274,497918.0,1676,1,4,2,1957,20177576015009,2016-07-13,ROLLING HILLS ESTATES,house,no,"(33.787209339999997, -118.36465661)"
90274,26114 MARINA DR  ROLLING HILLS ES CA  90274,1766000.0,2333,1,3,3,1968,20177576021014,2016-07-06,ROLLING HILLS ESTATES,house,no,"(33.788896299999998, -118.36198439)"
90275,26745 SHADOW WOOD DR  RNCHO PALOS VRDS CA  90275,286586.0,1334,1,3,2,1961,20177576029019,2016-07-13,RANCHO PALOS VERDES,house,no,"(33.782366119999999, -118.37104257)"
90275,26940 BASSWOOD AVE  RNCHO PALOS VRDS CA  90275,395516.0,1662,1,3,2,1958,20177577014013,2016-07-12,RANCHO PALOS VERDES,house,no,"(33.780141780000001, -118.37581947)"
90275,26937 BASSWOOD AVE  RNCHO PALOS VRDS CA  90275,958510.0,2064,1,4,3,1986,20177577019004,2016-07-01,RANCHO PALOS VERDES,house,no,"(33.77982094, -118.37629204)"
90275,27023 SHOREWOOD RD  RNCHO PALOS VRDS CA  90275,990000.0,1659,1,4,2,1958,20177578006014,2016-07-15,RANCHO PALOS VERDES,house,no,"(33.780609089999999, -118.37760876)"
90275,6020 SANDBROOK DR  RNCHO PALOS VRDS CA  90275,837747.0,2928,1,4,3,1970,20177578021025,2016-07-26,RANCHO PALOS VERDES,house,yes,"(33.788237670000001, -118.38461515)"
90275,27930 ALVAREZ DR  RNCHO PALOS VRDS CA  90275,1064000.0,1554,1,3,3,1966,20177578028036,2016-07-15,RANCHO PALOS VERDES,house,yes,"(33.780005279999997, -118.38845157)"
90275,6233 MONERO DR  RNCHO PALOS VRDS CA  90275,1450000.0,2197,1,3,2,1963,20177578029021,2016-07-13,RANCHO PALOS VERDES,house,no,"(33.781592940000003, -118.38806628)"
90275,30220 CHERET PL  RNCHO PALOS VRDS CA  90275,878011.0,2106,1,3,3,1975,20177581003025,2016-07-01,RANCHO PALOS VERDES,house,no,"(33.756430620000003, -118.39052896)"
90275,30178 CARTIER DR  RANCHO PALOS VERDES CA  90275,1978000.0,3562,1,4,5,2001,20177581006015,2016-07-19,RANCHO PALOS VERDES,house,no,"(33.756130079999998, -118.39304783)"
90275,1 SAIL VIEW AVE  RANCHO PALOS VERDES CA  90275,1005145.0,3365,1,3,3,1999,20177581016037,2016-07-12,RANCHO PALOS VERDES,house,no,"(33.758811979999997, -118.38031633999999)"
90275,6105 OCEAN TERRACE DR  RNCHO PALOS VRDS CA  90275,2280000.0,5261,1,5,6,1987,20177581021045,2016-07-15,RANCHO PALOS VERDES,house,yes,"(33.755579299999994, -118.38396066)"
90275,2 BURRELL LN  RNCHO PALOS VRDS CA  90275,1787357.0,4553,1,4,5,1985,20177581032011,2016-07-11,RANCHO PALOS VERDES,house,yes,"(33.75656128, -118.36764468)"
90275,30458 VIA RIVERA  RNCHO PALOS VRDS CA  90275,1700000.0,3184,1,5,3,1966,20177582008055,2016-07-01,RANCHO PALOS VERDES,house,yes,"(33.756972730000001, -118.40623026999999)"
90275,7386 VIA LORADO  RNCHO PALOS VRDS CA  90275,907535.0,1860,1,3,2,1962,20177582014019,2016-07-20,RANCHO PALOS VERDES,house,no,"(33.75959383, -118.41274270000001)"
90275,7447 VIA LORADO  RNCHO PALOS VRDS CA  90275,1785000.0,2573,1,4,5,1982,20177582015022,2016-07-05,RANCHO PALOS VERDES,house,no,"(33.760718830000002, -118.41375416)"
90275,7327 VIA LORADO  RNCHO PALOS VRDS CA  90275,2499000.0,2917,1,4,3,1973,20177582016017,2016-07-15,RANCHO PALOS VERDES,house,no,"(33.761437559999997, -118.41316537)"
90275,30027 VIA RIVERA  RNCHO PALOS VRDS CA  90275,1550000.0,2791,1,5,4,1969,20177582016027,2016-07-29,RANCHO PALOS VERDES,house,yes,"(33.762771970000003, -118.41061827)"
90275,30302 VIA RIVERA  RNCHO PALOS VRDS CA  90275,1620000.0,3184,1,5,3,1966,20177582019024,2016-07-26,RANCHO PALOS VERDES,house,no,"(33.759468949999999, -118.40794906000001)"
90275,7005 HARTCREST DR  RNCHO PALOS VRDS CA  90275,1145000.0,2076,1,3,2,1963,20177583002015,2016-07-01,RANCHO PALOS VERDES,house,no,"(33.775069610000003, -118.40186273)"
90275,7016 HARTCREST DR  RNCHO PALOS VRDS CA  90275,1205000.0,2184,1,4,3,1963,20177583003008,2016-07-25,RANCHO PALOS VERDES,house,no,"(33.774556080000004, -118.40190775000001)"
90275,7015 STARSTONE DR  RNCHO PALOS VRDS CA  90275,1427000.0,2283,1,4,3,1965,20177583004024,2016-07-22,RANCHO PALOS VERDES,house,no,"(33.77342196, -118.40205630000001)"
90275,6617 MADELINE COVE DR  RNCHO PALOS VRDS CA  90275,454163.0,1539,1,4,2,1971,20177583019022,2016-07-25,RANCHO PALOS VERDES,house,no,"(33.771193910000001, -118.39517959999999)"
90275,6836 ABBOTTSWOOD DR  RNCHO PALOS VRDS CA  90275,127118.0,1806,1,4,2,1963,20177583020015,2016-07-18,RANCHO PALOS VERDES,house,no,"(33.769302760000002, -118.39883146)"
90275,7002 ABBOTTSWOOD DR  RNCHO PALOS VRDS CA  90275,1160000.0,1895,1,4,2,1963,20177583021011,2016-07-29,RANCHO PALOS VERDES,house,no,"(33.76837853, -118.4018335)"
90275,6832 VERDE RIDGE RD  RNCHO PALOS VRDS CA  90275,165153.0,2420,1,4,3,1973,20177583027019,2016-07-19,RANCHO PALOS VERDES,house,no,"(33.766645160000003, -118.39808528)"
90275,6608 VERDE RIDGE RD  RNCHO PALOS VRDS CA  90275,1500000.0,2420,1,4,3,1972,20177583028011,2016-07-26,RANCHO PALOS VERDES,house,yes,"(33.768264090000002, -118.39362823)"
90275,6626 VERDE RIDGE RD  RNCHO PALOS VRDS CA  90275,653094.0,2836,1,5,4,1972,20177583028014,2016-07-11,RANCHO PALOS VERDES,house,no,"(33.76819321, -118.39421579)"
90275,6740 EL RODEO RD  RNCHO PALOS VRDS CA  90275,530329.0,1857,1,4,3,1979,20177583031018,2016-07-28,RANCHO PALOS VERDES,house,no,"(33.769301910000003, -118.39634595)"
90275,6902 KINGS HARBOR DR  RNCHO PALOS VRDS CA  90275,615084.0,1539,1,4,2,1972,20177583034002,2016-07-06,RANCHO PALOS VERDES,house,no,"(33.767179910000003, -118.39893269)"
90275,6954 VERDE RIDGE RD  RNCHO PALOS VRDS CA  90275,1440000.0,2513,1,5,4,1973,20177583035008,2016-07-15,RANCHO PALOS VERDES,house,yes,"(33.765761589999997, -118.40109744)"
90275,29021 TRAILRIDERS DR  RNCHO PALOS VRDS CA  90275,148855.0,1539,1,4,2,1977,20177583037019,2016-07-12,RANCHO PALOS VERDES,house,no,"(33.770471110000003, -118.39622120999999)"
90275,7017 CHERTY DR  RNCHO PALOS VRDS CA  90275,424659.0,1434,1,3,2,1962,20177584020031,2016-07-22,RANCHO PALOS VERDES,house,no,"(33.777806030000001, -118.40251361)"
90275,6944 LARKVALE DR  RNCHO PALOS VRDS CA  90275,1005000.0,1816,1,4,2,1962,20177584021015,2016-07-13,RANCHO PALOS VERDES,house,no,"(33.776477839999998, -118.40175779)"
90275,28718 COVECREST DR  RNCHO PALOS VRDS CA  90275,157257.0,2224,1,4,2,1972,20177585007030,2016-07-11,RANCHO PALOS VERDES,house,no,"(33.771790850000002, -118.38744717)"
90275,29024 COVECREST DR  RNCHO PALOS VRDS CA  90275,145712.0,2639,1,4,3,1966,20177585008022,2016-07-01,RANCHO PALOS VERDES,house,no,"(33.769089180000002, -118.3884173)"
90275,"29375 INDIAN VALLEY RD, 1  RNCHO PALOS VRDS CA  90275",925000.0,2924,1,3,4,1989,20177585010046,2016-07-06,RANCHO PALOS VERDES,condo,no,"(33.766334919999998, -118.38906507999999)"
90275,29422 INDIAN VALLEY RD  ROLLING HILLS ES CA  90275,995000.0,2051,1,4,3,2002,20177585011048,2016-07-29,ROLLING HILLS ESTATES,house,no,"(33.765480529999998, -118.38937794)"
90275,10 VIA MALONA  RNCHO PALOS VRDS CA  90275,1985000.0,5630,1,5,6,1990,20177585013045,2016-07-21,RANCHO PALOS VERDES,house,no,"(33.7709695, -118.38455891)"
90274,97 CRESTA VERDE DR  ROLLING HILLS ES CA  90274,179031.0,2112,1,3,3,1973,20177585017074,2016-07-07,ROLLING HILLS ESTATES,pud,no,"(33.760477710000004, -118.39022013)"
90274,29 CRESTA VERDE DR  ROLLING HILLS ES CA  90274,519906.0,1400,1,2,3,1972,20177585017126,2016-07-28,ROLLING HILLS ESTATES,pud,no,"(33.760477710000004, -118.39022013)"
90274,33 CRESTA VERDE DR  ROLLING HILLS ES CA  90274,650000.0,1400,1,2,3,1972,20177585017127,2016-07-06,ROLLING HILLS ESTATES,pud,no,"(33.760477710000004, -118.39022013)"
90275,28608 COVERIDGE DR  RNCHO PALOS VRDS CA  90275,1209800.0,2122,1,4,3,1972,20177585018033,2016-07-26,RANCHO PALOS VERDES,house,no,"(33.773668579999999, -118.38857225)"
90275,28716 DOVERRIDGE DR  RNCHO PALOS VRDS CA  90275,172119.0,2676,1,5,3,1969,20177585019020,2016-07-06,RANCHO PALOS VERDES,house,no,"(33.772900229999998, -118.39016799999999)"
90275,28832 LEAH CIR  RNCHO PALOS VRDS CA  90275,593806.0,2944,1,5,3,1978,20177585020011,2016-07-06,RANCHO PALOS VERDES,house,yes,"(33.771982389999998, -118.39090277)"
90274,"37 PEARTREE LN, BLDG 21  ROLLING HILLS ES CA  90274",703800.0,1704,1,2,3,1978,20177585022091,2016-07-13,ROLLING HILLS ESTATES,condo,no,"(33.763648009999997, -118.38892792999999)"
90274,"16 PEARTREE LN, BLDG 25  ROLLING HILLS ES CA  90274",1017825.0,2338,1,3,3,1978,20177585022100,2016-07-28,ROLLING HILLS ESTATES,condo,no,"(33.764662829999999, -118.3887699)"
90274,25 COUNTRY MEADOW RD  ROLLING HILLS ES CA  90274,2383742.0,3437,1,4,4,1990,20177585025117,2016-07-19,ROLLING HILLS ESTATES,house,yes,"(33.762353699999998, -118.38444674)"
90274,18 MISTY ACRES RD  RLLNG HLS EST CA  90274,1770000.0,2896,1,4,3,1979,20177585027099,2016-07-01,ROLLING HILLS ESTATES,house,yes,"(33.760162860000001, -118.38052415)"
90275,5122 SILVER ARROW DR  RNCHO PALOS VRDS CA  90275,130076.0,2268,1,5,4,1964,20177586007008,2016-07-13,RANCHO PALOS VERDES,house,no,"(33.776630529999998, -118.37175827)"
90275,27619 WARRIOR DR  RNCHO PALOS VRDS CA  90275,1035000.0,1442,1,3,2,1959,20177586008017,2016-07-07,RANCHO PALOS VERDES,house,no,"(33.774692700000003, -118.37004545000001)"
90275,27515 WARRIOR DR  RNCHO PALOS VRDS CA  90275,965914.0,1896,1,3,3,1966,20177586008028,2016-07-22,RANCHO PALOS VERDES,house,yes,"(33.7755954, -118.37005622)"
90275,27437 ELMBRIDGE DR  RNCHO PALOS VRDS CA  90275,985000.0,1868,1,3,2,1965,20177586016018,2016-07-27,RANCHO PALOS VERDES,house,no,"(33.775755799999999, -118.36568321999999)"
90275,27912 LONGHILL DR  RNCHO PALOS VRDS CA  90275,1450000.0,2440,1,5,3,2000,20177586023018,2016-07-26,RANCHO PALOS VERDES,house,no,"(33.772667079999998, -118.36340246)"
90275,"28326 RIDGEFALLS CT, UNIT 131  RANCHO PALOS VERDES CA  90275",698998.0,2067,1,3,3,1977,20177587001132,2016-07-25,RANCHO PALOS VERDES,condo,no,"(33.77673798, -118.3913622)"
90275,27942 RIDGECOVE CT N  RNCHO PALOS VRDS CA  90275,301004.0,1566,1,3,3,1973,20177587003053,2016-07-06,RANCHO PALOS VERDES,pud,no,"(33.777738810000002, -118.38800197)"
90275,28020 RIDGECOVE CT N  RNCHO PALOS VRDS CA  90275,418735.0,1478,1,3,3,1973,20177587003071,2016-07-08,RANCHO PALOS VERDES,pud,no,"(33.777738810000002, -118.38800197)"
90275,28017 RIDGEBLUFF CT  RNCHO PALOS VRDS CA  90275,670000.0,1566,1,3,3,1973,20177587004077,2016-07-18,RANCHO PALOS VERDES,pud,no,"(33.777748989999999, -118.38684665)"
90275,"5987 PEACOCK RIDGE RD, NO 119  RNCHO PALOS VRDS CA  90275",367828.0,1300,1,2,2,1974,20177587007029,2016-07-19,RANCHO PALOS VERDES,condo,no,"(33.775416470000003, -118.38499471999999)"
90275,"28121 HIGHRIDGE RD, NO 412  RNCHO PALOS VRDS CA  90275",330000.0,765,1,1,1,1974,20177587007091,2016-07-15,RANCHO PALOS VERDES,condo,no,"(33.775582139999997, -118.38422490000001)"
90275,"5923 ARMAGA SPRING RD, UNIT   D  RNCHO PALOS VRDS CA  90275",296672.0,1484,1,3,3,1969,20177587009041,2016-07-12,RANCHO PALOS VERDES,condo,no,"(33.77249132, -118.38255649999999)"
90275,"5951 ARMAGA SPRING RD, UNIT   B  RANCHO PALOS VERDES CA  90275",570000.0,1484,1,3,3,1969,20177587009074,2016-07-29,RANCHO PALOS VERDES,condo,no,"(33.77249132, -118.38255649999999)"
90275,"5947 ARMAGA SPRING RD, UNIT   I  RNCHO PALOS VRDS CA  90275",464100.0,1071,1,2,2,1969,20177587009083,2016-07-29,RANCHO PALOS VERDES,condo,no,"(33.77249132, -118.38255649999999)"
90275,6847 CREST RD  RNCHO PALOS VRDS CA  90275,1143102.0,3275,1,4,4,1965,20177588003016,2016-07-19,RANCHO PALOS VERDES,house,yes,"(33.762911520000003, -118.39969721999999)"
90275,7255 CREST RD  RNCHO PALOS VRDS CA  90275,229372.0,3422,1,5,3,1971,20177588006018,2016-07-14,RANCHO PALOS VERDES,house,yes,"(33.759863920000001, -118.40591499)"
90275,30551 CAMINO PORVENIR  RNCHO PALOS VRDS CA  90275,1397998.0,2045,1,3,3,1974,20177588008023,2016-07-14,RANCHO PALOS VERDES,house,yes,"(33.755747990000003, -118.40410491999999)"
90275,6733 VALLON DR  RNCHO PALOS VRDS CA  90275,790824.0,2720,1,4,3,1968,20177588019011,2016-07-13,RANCHO PALOS VERDES,house,no,"(33.749621570000002, -118.39452495)"
90275,6785 VALLON DR  RNCHO PALOS VRDS CA  90275,1540000.0,3177,1,5,3,1968,20177588019018,2016-07-22,RANCHO PALOS VERDES,house,yes,"(33.748830519999999, -118.39616526)"
90275,7055 VIA DEL MAR  RNCHO PALOS VRDS CA  90275,754207.0,2977,1,3,3,1987,20177588024011,2016-07-18,RANCHO PALOS VERDES,pud,no,"(33.748386850000003, -118.40334343000001)"
90274,"901 DEEP VALLEY DR, 105  ROLLING HILLS ESTATES CA  90274",495000.0,930,1,2,2,2008,20177589003024,2016-07-21,ROLLING HILLS ESTATES,condo,no,"(33.768404109999999, -118.36769452)"
90274,"901 DEEP VALLEY DR, 213  ROLLING HILLS ESTATES CA  90274",400000.0,670,1,1,1,2008,20177589003048,2016-07-13,ROLLING HILLS ESTATES,condo,no,"(33.768404109999999, -118.36769452)"
90274,"901 DEEP VALLEY DR, 307  ROLLING HILLS ESTATES CA  90274",864744.0,1490,1,2,2,2008,20177589003057,2016-07-29,ROLLING HILLS ESTATES,condo,no,"(33.768404109999999, -118.36769452)"
90274,57 CYPRESS WAY  ROLLING HILLS ES CA  90274,1045681.0,2184,1,3,3,1974,20177589010046,2016-07-05,ROLLING HILLS ESTATES,pud,no,"(33.771273149999999, -118.37897470999999)"
90670,9061 MORRILL AVE  SANTA FE SPRINGS CA  90670,469000.0,1323,1,4,2,1956,20178001014032,2016-07-01,SANTA FE SPRINGS,house,no,"(33.959645469999998, -118.08155361999999)"
90670,9107 VICKI DR  SANTA FE SPRINGS CA  90670,428833.0,1323,1,4,2,1956,20178001017018,2016-07-01,SANTA FE SPRINGS,house,no,"(33.959166889999999, -118.08029601)"
90670,9120 FLALLON AVE  SANTA FE SPRINGS CA  90670,473000.0,1683,1,3,2,1958,20178001021042,2016-07-28,SANTA FE SPRINGS,house,no,"(33.95844529, -118.07922395999999)"
90670,11643 TERRADELL ST  SANTA FE SPRINGS CA  90670,53176.0,1112,1,3,1,1951,20178005003032,2016-07-01,SANTA FE SPRINGS,house,no,"(33.95303251, -118.07909561)"
90670,11645 NOVA ST  SANTA FE SPRINGS CA  90670,328138.0,1094,1,3,1,1951,20178005005032,2016-07-11,SANTA FE SPRINGS,house,no,"(33.951662380000002, -118.07978556)"
90670,9579 DANBY AVE  SANTA FE SPRINGS CA  90670,459000.0,1262,1,3,2,1970,20178006007022,2016-07-08,SANTA FE SPRINGS,house,no,"(33.951917999999999, -118.08371505)"
90670,11583 FLOSSMOOR RD  SANTA FE SPRINGS CA  90670,332866.0,1416,1,4,2,1961,20178006011036,2016-07-18,SANTA FE SPRINGS,house,no,"(33.949561940000002, -118.08474115)"
90670,9852 ORR AND DAY RD  SANTA FE SPRINGS CA  90670,420000.0,1170,1,3,1,1954,20178006014018,2016-07-21,SANTA FE SPRINGS,house,no,"(33.949289110000002, -118.08877917)"
90670,9840 BARTLEY AVE  SANTA FE SPRINGS CA  90670,449587.0,1575,1,3,2,2003,20178006014055,2016-07-13,SANTA FE SPRINGS,house,no,"(33.949995440000002, -118.08955019)"
90670,9503 ORR AND DAY RD  SANTA FE SPRINGS CA  90670,267164.0,1786,1,3,2,1998,20178006017043,2016-07-28,SANTA FE SPRINGS,house,no,"(33.953988279999997, -118.08693061)"
90670,9535 BARTLEY AVE  SANTA FE SPRINGS CA  90670,390000.0,1211,1,3,1,1952,20178006023019,2016-07-05,SANTA FE SPRINGS,house,no,"(33.954121450000002, -118.08784749)"
90670,11003 DAVENRICH ST  SANTA FE SPRINGS CA  90670,113984.0,1040,1,3,1,1953,20178007014036,2016-07-25,SANTA FE SPRINGS,house,no,"(33.944756040000001, -118.09697258)"
90670,10324 HARVEST AVE  SANTA FE SPRINGS CA  90670,460000.0,1477,1,3,2,1953,20178007024028,2016-07-06,SANTA FE SPRINGS,house,yes,"(33.942151320000001, -118.09221209)"
