,PropertyLocation,TotalValue,RecordingDate,SQFTmain,Units,Bedrooms,Bathrooms,EffectiveYearBuilt,townhouse,pool,condo,pud,owned
69,"13309 MEYER RD, NO D  SANTA FE SPRINGS CA  90605",$177839.00,20160722,1080,1,2,2,1986,no,no,yes,no,no
70,"13301 MEYER RD, NO A  SANTA FE SPRINGS CA  90605",$166098.00,20160729,1080,1,2,2,1986,no,no,yes,no,no
71,13028 RAINIER AVE  WHITTIER CA  90605,$504000.00,20160729,1478,1,3,3,1976,no,no,no,no,no
72,11815 FIDEL AVE  WHITTIER CA  90605,$352000.00,20160721,1078,1,3,2,1956,no,no,no,no,no
73,11910 FIDEL AVE  WHITTIER CA  90605,$500000.00,20160725,1472,2,4,2,1962,no,no,no,no,no
74,13149 SPLENDORA AVE  WHITTIER CA  90605,$519900.00,20160727,2070,1,3,3,1959,no,no,no,no,no
75,"11915 INEZ ST, NO 9  WHITTIER CA  90605",$300000.00,20160727,1024,1,2,2,1981,no,no,yes,no,no
76,11732 CORLEY DR  WHITTIER CA  90604,$195733.00,20160729,725,1,2,1,1952,no,no,no,no,no
77,14316 SYRACUSE DR  WHITTIER CA  90604,$285766.00,20160729,1170,1,3,2,1960,no,no,no,no,no
78,14139 CHERE DR  WHITTIER CA  90604,$232812.00,20160721,1638,1,4,2,1955,no,no,no,no,no
79,12222 CORLEY DR  WHITTIER CA  90604,$419900.00,20160729,1212,1,3,2,1965,no,no,no,no,no
80,14910 HELLER PL  LA MIRADA CA  90638,$412741.00,20160727,1399,1,3,1,1960,no,no,no,no,no
81,15234 LAS FLORES AVE  LA MIRADA CA  90638,$699000.00,20160728,2147,1,4,3,1954,no,no,no,no,no
82,16043 AMBER VALLEY DR  WHITTIER CA  90604,$235508.00,20160725,1583,1,3,2,1965,no,yes,no,no,no
83,15815 SILVERGROVE DR  WHITTIER CA  90604,$257312.00,20160728,1399,1,4,2,1960,no,no,no,no,no
84,11946 GROVELAND AVE  WHITTIER CA  90604,$510800.00,20160727,1273,1,3,2,1961,no,yes,no,no,no
85,16310 STARWOOD DR  WHITTIER CA  90604,$535000.00,20160728,1829,1,4,2,1963,no,yes,no,no,no
86,16401 ANDIRON DR  WHITTIER CA  90604,$539000.00,20160722,1437,1,4,2,1961,no,no,no,no,no
87,11737 POUNDS AVE  WHITTIER CA  90604,$394111.00,20160727,1590,1,3,2,1966,no,no,no,no,no
88,11803 TIGRINA AVE  WHITTIER CA  90604,$584000.00,20160728,1950,1,3,3,1963,no,yes,no,no,no
89,12423 GRAYLING AVE  WHITTIER CA  90604,$640000.00,20160729,1992,1,4,2,1962,no,yes,no,no,no
90,16349 SUMMERSHADE DR  LA MIRADA CA  90638,$564400.00,20160726,1635,1,4,2,1961,no,no,no,no,no
91,16200 ALPINE PL  LA MIRADA CA  90638,$876000.00,20160728,2917,1,4,3,1996,no,no,no,yes,no
92,16036 RANCH LN  LA MIRADA CA  90638,$591493.00,20160728,1706,1,4,3,1990,no,no,no,yes,no
93,13320 CLEARWATER DR  LA MIRADA CA  90638,$646000.00,20160727,1683,1,3,3,1990,no,no,no,yes,no
94,"13211 ROYALCREST CT, NO 196  LA MIRADA CA  90638",$360000.00,20160722,975,1,1,1,1990,no,no,yes,no,no
95,"13221 FLEMINGTON CT, NO 155  LA MIRADA CA  90638",$390000.00,20160721,1051,1,2,2,1990,no,no,yes,no,no
96,13819 MONTEREY LN  LA MIRADA CA  90638,$767127.00,20160721,2740,1,5,3,2002,no,no,no,yes,no
97,13357 FONSECA AVE  LA MIRADA CA  90638,$690000.00,20160726,2503,1,5,3,1962,no,yes,no,no,no
98,16010 MILVERN DR  WHITTIER CA  90604,$600000.00,20160721,2044,1,4,3,1966,no,no,no,no,no
99,16048 MARLINTON DR  WHITTIER CA  90604,$485500.00,20160726,1373,1,3,2,1960,no,no,no,no,no
100,11747 CLEARGLEN AVE  WHITTIER CA  90604,$480000.00,20160721,1318,1,3,2,1961,no,no,no,no,no
101,14739 GARDENHILL DR  LA MIRADA CA  90638,$324944.00,20160721,1358,1,3,2,1956,no,no,no,no,no
102,14831 GARDENHILL DR  LA MIRADA CA  90638,$475000.00,20160729,1386,1,4,2,1957,no,no,no,no,no
103,13504 ESTERO RD  LA MIRADA CA  90638,$359344.00,20160729,1739,1,3,2,1958,no,no,no,no,no
104,14638 GREENWORTH DR  LA MIRADA CA  90638,$553000.00,20160725,1392,1,3,2,1956,no,no,no,no,no
105,12802 EL MORO AVE  LA MIRADA CA  90638,$389078.00,20160729,1145,1,4,3,1956,no,no,no,no,no
106,12912 COYOTE LN  NORWALK CA  90650,$322000.00,20160721,1472,1,5,2,1964,no,no,yes,no,no
107,12902 LARIAT LN  NORWALK CA  90650,$290000.00,20160729,1347,1,4,2,1964,no,no,yes,no,no
108,12931 NAVAJO LN  NORWALK CA  90650,$315000.00,20160728,1472,1,5,2,1964,no,no,yes,no,no
109,12811 STAGECOACH LN  NORWALK CA  90650,$295000.00,20160729,1156,1,3,2,1964,no,no,yes,no,no
110,14514 LOCH NEVIS AVE  NORWALK CA  90650,$432000.00,20160728,1063,1,3,2,1953,no,no,no,no,no
111,13823 GREENSTONE AVE  NORWALK CA  90650,$213289.00,20160721,1149,1,3,1,1956,no,no,no,no,no
112,13402 STANSTEAD AVE  NORWALK CA  90650,$435000.00,20160728,1149,1,3,1,1956,no,no,no,no,no
113,12909 GOLLER AVE  NORWALK CA  90650,$188731.00,20160728,973,1,3,1,1960,no,no,no,no,no
114,13641 MARKDALE AVE  NORWALK CA  90650,$376666.00,20160729,1242,1,2,2,1967,no,no,no,no,no
115,11455 MAZA ST  NORWALK CA  90650,$336553.00,20160726,902,1,2,1,1953,no,no,no,no,no
116,12917 GRAYSTONE AVE  NORWALK CA  90650,$460000.00,20160722,1084,1,2,2,1952,no,yes,no,no,no
117,11063 ADOREE ST  NORWALK CA  90650,$490000.00,20160722,1308,1,3,2,1959,no,yes,no,no,no
118,14035 DUMONT AVE  NORWALK CA  90650,$450000.00,20160727,1037,1,3,1,1951,no,no,no,no,no
119,14026 BEHRENS AVE  NORWALK CA  90650,$48325.00,20160727,1008,1,3,1,1951,no,no,no,no,no
120,"13908 EDGEWATER DR, UNIT 101  NORWALK CA  90650",$211252.00,20160725,847,1,1,1,1977,no,no,yes,no,no
121,13809 FAIRFORD AVE  NORWALK CA  90650,$59943.00,20160729,1468,1,3,2,1957,no,no,no,no,no
122,13609 ROSETON AVE  NORWALK CA  90650,$186062.00,20160726,749,1,2,1,1950,no,no,no,no,no
123,13809 JERSEY AVE  NORWALK CA  90650,$53502.00,20160725,768,1,2,1,1950,no,no,no,no,no
124,13923 JERSEY AVE  NORWALK CA  90650,$205896.00,20160722,768,1,2,1,1950,no,no,no,no,no
125,"12025 FOSTER RD, APT 0001  NORWALK CA  90650",$365000.00,20160729,1291,1,3,3,1982,no,no,yes,no,no
126,13502 DUFFIELD AVE  LA MIRADA CA  90638,$481000.00,20160726,1545,1,4,2,1955,no,no,no,no,no
127,13843 BORA DR  LA MIRADA CA  90638,$445000.00,20160727,1128,1,4,2,1956,no,no,no,no,no
128,13924 MANSA DR  LA MIRADA CA  90638,$441013.00,20160721,1632,1,5,2,1958,no,no,no,no,no
129,14150 BORA DR  LA MIRADA CA  90638,$420000.00,20160727,1125,1,4,2,1956,no,no,no,no,no
130,13615 BIOLA AVE  LA MIRADA CA  90638,$430408.00,20160727,1656,1,3,2,1956,no,no,no,no,no
131,14619 BORA DR  LA MIRADA CA  90638,$550000.00,20160726,1176,1,3,2,1956,no,no,no,no,no
132,14921 ROMA DR  LA MIRADA CA  90638,$76413.00,20160728,1495,1,4,2,1956,no,no,no,no,no
133,14116 BIOLA AVE  LA MIRADA CA  90638,$416548.00,20160728,1577,1,3,2,1957,no,no,no,no,no
134,15272 ROUSSEAU LN  LA MIRADA CA  90638,$527334.00,20160728,2186,1,5,3,1993,no,no,no,yes,no
135,14902 COSTA MESA DR  LA MIRADA CA  90638,$452000.00,20160726,1496,1,3,2,1962,no,no,no,no,no
136,15038 WATKINS DR  LA MIRADA CA  90638,$335496.00,20160726,1127,1,3,2,1958,no,no,no,no,no
137,"15325 SANTA GERTRUDES AVE, NO J207  LA MIRADA CA  90638",$218000.00,20160729,634,1,1,1,1972,no,no,no,no,no
138,"15436 LA MIRADA BLVD, UNIT 210  LA MIRADA CA  90638",$217000.00,20160722,634,1,1,1,1972,no,no,no,no,no
139,15142 BADLONA DR  LA MIRADA CA  90638,$500000.00,20160726,1275,1,4,2,1955,no,no,no,no,no
140,14514 DUNNET AVE  LA MIRADA CA  90638,$183648.00,20160729,1292,1,3,2,1957,no,no,no,no,no
141,14428 CABRILLO AVE  NORWALK CA  90650,$216375.00,20160729,760,1,2,1,1959,no,no,no,no,no
142,14317 CLARESSA AVE  NORWALK CA  90650,$277567.00,20160729,1768,1,5,2,1984,no,no,no,no,no
143,14522 DARTMOOR AVE  NORWALK CA  90650,$379170.00,20160727,750,1,2,1,1950,no,no,no,no,no
144,14539 CAMEO AVE  NORWALK CA  90650,$339523.00,20160726,888,1,3,1,1950,no,no,no,no,no
145,14513 CAMEO AVE  NORWALK CA  90650,$253319.00,20160729,1050,1,3,1,1951,no,no,no,no,no
146,14628 IBEX AVE  NORWALK CA  90650,$395000.00,20160728,848,1,2,1,1948,no,no,no,no,no
147,12073 EXCELSIOR DR  NORWALK CA  90650,$308727.00,20160728,1544,1,3,2,1950,no,no,no,no,no
148,14626 GRAYLAND AVE  NORWALK CA  90650,$472000.00,20160729,1438,1,4,2,1964,no,no,no,no,no
149,14790 PIONEER BLVD  NORWALK CA  90650,$350000.00,20160728,1164,1,2,3,1985,no,no,yes,no,no
150,11509 POTTER ST  NORWALK CA  90650,$440000.00,20160729,1300,1,3,2,1953,no,no,no,no,no
151,14433 HALCOURT AVE  NORWALK CA  90650,$320037.00,20160728,1131,1,2,2,1952,no,no,no,no,no
152,10951 EXCELSIOR DR  NORWALK CA  90650,$284464.00,20160727,1125,1,3,2,1960,no,no,no,no,no
153,14802 LEIBACHER AVE  NORWALK CA  90650,$648000.00,20160722,3058,1,6,4,1991,no,no,no,no,no
154,14622 DUMONT AVE  NORWALK CA  90650,$450000.00,20160722,1428,1,4,2,1970,no,no,no,no,no
155,10933 HOPLAND ST  NORWALK CA  90650,$181984.00,20160727,1212,1,3,2,1954,no,no,no,no,no
156,10977 HAYFORD ST  NORWALK CA  90650,$423000.00,20160727,888,1,3,1,1951,no,yes,no,no,no
157,11515 LOWEMONT ST  NORWALK CA  90650,$334416.00,20160725,2480,1,4,4,1949,no,no,no,no,no
158,11908 HOPLAND ST  NORWALK CA  90650,$159100.00,20160722,760,1,2,1,1955,no,no,no,no,no
159,11918 MOLETTE ST  NORWALK CA  90650,$300000.00,20160728,755,1,2,1,1968,no,no,no,no,no
160,15312 BECHARD AVE  NORWALK CA  90650,$265793.00,20160727,1624,1,3,2,1959,no,no,no,no,no
161,15526 DARTMOOR AVE  NORWALK CA  90650,$309283.00,20160721,2137,1,5,2,1962,no,no,no,no,no
162,14659 SAN ESTEBAN DR  LA MIRADA CA  90638,$340909.00,20160727,1357,1,4,2,1955,no,no,no,no,no
163,15021 ELMBROOK DR  LA MIRADA CA  90638,$569000.00,20160729,1565,1,3,2,1957,no,no,no,no,no
164,15002 ELMBROOK DR  LA MIRADA CA  90638,$200432.00,20160725,1304,1,3,2,1955,no,no,no,no,no
165,2721 LEXINGTON AVE  EL MONTE CA  91733,$358957.00,20160721,1044,1,2,1,1929,no,no,no,no,no
166,2823 MOUNTAIN VIEW RD  EL MONTE CA  91732,$686355.00,20160727,5155,8,11,8,1947,no,no,no,no,no
167,"11039 SCHMIDT RD, A  EL MONTE CA  91733",$642600.00,20160726,2377,1,4,4,2015,no,no,no,no,no
168,11187 SCHMIDT RD  EL MONTE CA  91733,$240878.00,20160727,1737,1,4,3,2003,no,no,no,no,no
169,12043 MAGNOLIA ST  EL MONTE CA  91732,$235052.00,20160727,1864,1,4,3,1995,no,no,no,yes,no
170,12644 PINEVILLE ST  EL MONTE CA  91732,$439857.00,20160722,1188,1,3,2,1971,no,no,no,no,no
171,3046 PARKWAY CIR  EL MONTE CA  91732,$630000.00,20160722,2166,1,4,3,2015,no,no,no,no,no
172,284 SAN ANGELO AVE  LA PUENTE CA  91746,$71983.00,20160721,2312,2,6,3,1965,no,no,no,no,no
173,511 S 3RD AVE  LA PUENTE CA  91746,$444000.00,20160722,1822,1,4,2,1948,no,no,no,no,no
174,1525 BUNKER AVE  SOUTH EL MONTE CA  91733,$179382.00,20160722,1100,1,3,2,1961,no,yes,no,no,no
175,11244 BROADMEAD ST  SOUTH EL MONTE CA  91733,$435000.00,20160722,1376,1,3,2,1956,no,no,no,no,no
176,1511 STROZIER AVE  SOUTH EL MONTE CA  91733,$360000.00,20160722,780,1,3,1,1944,no,no,no,no,no
177,11209 FARNDON ST  SOUTH EL MONTE CA  91733,$411000.00,20160726,989,1,3,1,1954,no,no,no,no,no
178,13549 LOUMONT ST  WHITTIER CA  90601,$530000.00,20160728,1544,1,4,3,1965,no,yes,no,no,no
179,13525 LOUMONT ST  WHITTIER CA  90601,$510000.00,20160722,1242,1,3,2,1963,no,yes,no,no,no
180,13268 ANKERTON ST  WHITTIER CA  90601,$475000.00,20160729,1372,1,3,2,1961,no,yes,no,no,no
181,4403 GANGEL AVE  PICO RIVERA CA  90660,$49796.00,20160727,1040,1,2,1,1952,no,no,no,no,no
182,3602 CHAPELLE AVE  PICO RIVERA CA  90660,$486000.00,20160726,1440,1,4,2,1955,no,no,no,no,no
183,3625 GREENGLADE AVE  PICO RIVERA CA  90660,$229792.00,20160727,1248,1,3,1,1954,no,no,no,no,no
184,3801 SUFFOLK CT  PICO RIVERA CA  90660,$232374.00,20160728,1522,1,3,2,1984,no,no,no,yes,no
185,3319 SHADOW CREEK LN  PICO RIVERA CA  90660,$520050.00,20160721,1889,1,4,3,1999,no,no,no,no,no
186,9647 SAINT ANDREWS CT  PICO RIVERA CA  90660,$578820.00,20160728,2275,1,6,3,1998,no,yes,no,no,no
187,3903 ABBEYWOOD AVE  WHITTIER CA  90601,$299928.00,20160722,1808,1,3,3,1956,no,no,no,no,no
188,9915 NOYES ST  WHITTIER CA  90601,$286388.00,20160726,1200,1,3,2,1956,no,no,no,no,no
189,"9900 TAGUS ST, 14  PICO RIVERA CA  90660",$259951.00,20160728,1333,1,3,3,1989,no,no,no,yes,no
190,,$13000.00,20160721,0,0,0,0,0,no,no,no,no,no
191,4411 LUCAYAN DR  WHITTIER CA  90601,$297611.00,20160726,2493,1,5,3,1986,no,no,no,no,no
192,11324 RIDGEGATE DR  WHITTIER CA  90601,$698000.00,20160722,2428,1,4,3,1980,no,no,no,no,no
193,"4140 WORKMAN MILL RD, UNIT 199  WHITTIER CA  90601",$300000.00,20160727,1066,1,2,1,1979,no,no,yes,no,no
194,"4512 WORKMAN MILL RD, 111  WHITTIER CA  90601",$305000.00,20160729,857,1,2,1,1988,no,no,yes,no,no
195,12045 S CIRCLE DR  WHITTIER CA  90601,$730000.00,20160726,1721,1,3,2,1962,no,yes,no,no,no
196,5816 REDMAN AVE  WHITTIER CA  90606,$380000.00,20160728,728,1,2,1,1939,no,no,no,no,no
197,10711 EL RANCHO DR  WHITTIER CA  90606,$69595.00,20160727,960,1,3,1,1950,no,no,no,no,no
198,10818 ORANGE DR  WHITTIER CA  90606,$438000.00,20160725,1369,1,2,1,1946,no,no,no,no,no
199,10845 FLORAL DR  WHITTIER CA  90606,$459550.00,20160725,1322,1,3,2,1953,no,no,no,no,no
200,11032 MONTE VISTA DR  WHITTIER CA  90601,$430000.00,20160728,1142,1,2,1,1937,no,no,no,no,no
201,"12113 BEVERLY BLVD, UNIT   J  WHITTIER CA  90601",$289000.00,20160728,926,1,2,2,1974,no,no,yes,no,no
202,12501 DORLAND ST  WHITTIER CA  90601,$500000.00,20160728,1278,2,3,2,1931,no,no,no,no,no
203,6251 MILTON AVE  WHITTIER CA  90601,$915150.00,20160729,3492,5,7,5,1961,no,no,no,no,no
204,5808 MILTON AVE  WHITTIER CA  90601,$213336.00,20160727,1357,1,3,2,1925,no,no,no,no,no
205,6052 COMSTOCK AVE  WHITTIER CA  90601,$502500.00,20160729,1051,1,2,2,1930,no,no,no,no,no
206,6328 WASHINGTON AVE  WHITTIER CA  90601,$515000.00,20160727,1921,3,3,3,1915,no,no,no,no,no
207,13457 MURPHY HILL DR  WHITTIER CA  90601,$380000.00,20160721,1471,1,2,3,1988,no,no,yes,no,no
208,13547 MURPHY HILL DR  WHITTIER CA  90601,$377500.00,20160721,1403,1,3,2,1985,no,no,yes,no,no
209,13617 BAILEY ST  WHITTIER CA  90601,$497636.00,20160726,2629,1,4,3,1952,no,yes,no,no,no
210,6244 SOUTHWIND DR  WHITTIER CA  90601,$433372.00,20160722,2334,1,3,3,1965,no,no,no,no,no
211,13956 MIDVALE DR  WHITTIER CA  90602,$689000.00,20160729,2286,1,3,3,1950,no,no,no,no,no
212,7201 PICKERING AVE  WHITTIER CA  90602,$1350000.00,20160727,5358,8,9,8,1963,no,no,no,no,no
213,6213 CANOBIE AVE  WHITTIER CA  90601,$405000.00,20160726,768,1,2,1,1923,no,no,no,no,no
214,12331 MUIR CT  WHITTIER CA  90601,$381972.00,20160728,1530,2,4,2,1961,no,no,no,no,no
215,7308 PICKERING AVE  WHITTIER CA  90602,$266631.00,20160725,1260,1,3,1,1936,no,no,no,no,no
216,7646 BRIGHT AVE  WHITTIER CA  90602,$350000.00,20160721,956,1,2,1,1923,no,no,no,no,no
217,7737 WASHINGTON AVE  WHITTIER CA  90602,$159951.00,20160728,1636,2,4,2,1955,no,no,no,no,no
218,8127 FRIENDS AVE  WHITTIER CA  90602,$70507.00,20160722,2098,2,4,2,1963,no,no,no,no,no
219,7929 SARGENT AVE  WHITTIER CA  90602,$788000.00,20160729,2150,1,4,4,1958,no,no,no,no,no
220,14221 MAR VISTA ST  WHITTIER CA  90602,$705000.00,20160729,3084,1,5,3,1956,no,no,no,no,no
221,14245 BRONTE DR  WHITTIER CA  90602,$1068000.00,20160722,3618,1,5,4,1969,no,no,no,no,no
222,8312 DAVISTA DR  WHITTIER CA  90602,$833000.00,20160729,2368,1,4,3,1958,no,yes,no,no,no
223,8934 BEN HUR AVE  WHITTIER CA  90605,$558767.00,20160727,1782,1,4,3,1960,no,yes,no,no,no
224,8826 LA ENTRADA AVE  WHITTIER CA  90605,$1110000.00,20160729,3684,1,6,4,2000,no,yes,no,no,no
225,8932 GUNN AVE  WHITTIER CA  90605,$378000.00,20160726,1183,1,3,1,1950,no,no,no,no,no
226,14437 CEDARSPRINGS DR  WHITTIER CA  90603,$492000.00,20160725,1016,1,3,1,1953,no,yes,no,no,no
