ZIPcode5,PropertyLocation,TotalValue,SQFTmain,Units,Bedrooms,Bathrooms,EffectiveYearBuilt,rowID,RecordingDate,TaxRateArea_CITY,house_type,pool,coordinates,HH_Kids,Owner,closest_school,num_choices,closest_rating,elevation,groceries,parks,crime,walkable,walkscore,transitable,transit_score,bikeable,bike_score
90275,19 VIA SAN REMO  RNCHO PALOS VRDS CA  90275,920000.0,2282,1,3,3,1989,20177573001053,2016-07-01,RANCHO PALOS VERDES,condo,no,"(33.747799559999997, -118.40511798)",0.5532452758642482,0.799026733236428,0.09,2.0,10.0,88.63441467285156,2.0,6.0,0.0,Somewhat Walkable,52,Not Transitable,0,Not Bikeable,0
90275,"32679 SEAGATE DR, 101  RNCHO PALOS VRDS CA  90275",554526.0,1736,1,2,2,1965,20177573012025,2016-07-27,RANCHO PALOS VERDES,condo,no,"(33.741884650000003, -118.38869188)",0.5532452758642482,0.799026733236428,1.1,0.0,10.0,50.90151596069336,1.0,7.0,0.0,Car-Dependent,23,Not Transitable,0,Not Bikeable,0
90275,"32709 SEAGATE DR, 108  RNCHO PALOS VRDS CA  90275",553673.0,1565,1,2,2,1965,20177573012032,2016-07-06,RANCHO PALOS VERDES,condo,no,"(33.741884650000003, -118.38869188)",0.5532452758642482,0.799026733236428,1.1,0.0,10.0,50.90151596069336,1.0,7.0,0.0,Car-Dependent,23,Not Transitable,0,Not Bikeable,0
90275,"32614 COASTSITE DR, 104  RNCHO PALOS VRDS CA  90275",640000.0,1565,1,2,2,1965,20177573012088,2016-07-19,RANCHO PALOS VERDES,condo,no,"(33.741884650000003, -118.38869188)",0.5532452758642482,0.799026733236428,1.1,0.0,10.0,50.90151596069336,1.0,7.0,0.0,Car-Dependent,23,Not Transitable,0,Not Bikeable,0
90275,"32614 COASTSITE DR, 307  RANCHO PALOS VERDES CA  90275",376506.0,1433,1,2,2,1965,20177573012243,2016-07-21,RANCHO PALOS VERDES,condo,no,"(33.741884650000003, -118.38869188)",0.5532452758642482,0.799026733236428,1.1,0.0,10.0,50.90151596069336,1.0,7.0,0.0,Car-Dependent,23,Not Transitable,0,Not Bikeable,0
90275,6506 SANDY POINT CT  RNCHO PALOS VRDS CA  90275,1210000.0,2712,1,3,3,1988,20177573013045,2016-07-11,RANCHO PALOS VERDES,pud,no,"(33.743783829999998, -118.39160445)",0.5532452758642482,0.799026733236428,0.89,1.0,10.0,66.22959899902344,1.0,7.0,0.0,Car-Dependent,24,Not Transitable,0,Not Bikeable,0
90275,6519 SANDY POINT CT  RNCHO PALOS VRDS CA  90275,1291000.0,3036,1,4,3,1987,20177573013056,2016-07-01,RANCHO PALOS VERDES,pud,no,"(33.743968580000001, -118.39256064)",0.5532452758642482,0.799026733236428,0.84,1.0,10.0,65.88432312011719,2.0,7.0,0.0,Car-Dependent,24,Not Transitable,0,Not Bikeable,0
90275,32706 VIA PALACIO  RNCHO PALOS VRDS CA  90275,1450000.0,3556,1,3,4,1984,20177573017060,2016-07-08,RANCHO PALOS VERDES,pud,no,"(33.741678739999998, -118.39093419999999)",0.5532452758642482,0.799026733236428,1.0,1.0,10.0,46.55114364624023,1.0,7.0,0.0,Car-Dependent,23,Not Transitable,0,Not Bikeable,0
90275,6502 VIA BARON  RNCHO PALOS VRDS CA  90275,1890000.0,4596,1,4,5,1984,20177573017074,2016-07-26,RANCHO PALOS VERDES,pud,no,"(33.741114940000003, -118.39121509)",0.5532452758642482,0.799026733236428,1.0,1.0,10.0,42.839454650878906,1.0,7.0,0.0,Car-Dependent,23,Not Transitable,0,Not Bikeable,0
90275,5731 MISTRIDGE DR  RNCHO PALOS VRDS CA  90275,158385.0,2718,1,4,3,1968,20177574005018,2016-07-15,RANCHO PALOS VERDES,house,no,"(33.767847789999998, -118.37772986)",0.5532452758642482,0.799026733236428,0.03,9.0,10.0,376.1467590332031,3.0,3.0,0.0,Car-Dependent,38,Not Transitable,0,Not Bikeable,0
90275,29203 BEACHSIDE DR  RNCHO PALOS VRDS CA  90275,1320000.0,2488,1,4,3,1977,20177574008018,2016-07-29,RANCHO PALOS VERDES,house,no,"(33.765054880000001, -118.37457256)",0.5532452758642482,0.799026733236428,0.17,8.0,10.0,392.9932861328125,2.0,5.0,0.0,Car-Dependent,9,Not Transitable,0,Not Bikeable,0
90275,29352 WHITLEY COLLINS DR  RNCHO PALOS VRDS CA  90275,852999.0,2803,1,4,3,1964,20177574009010,2016-07-26,RANCHO PALOS VERDES,house,no,"(33.764615050000003, -118.37617523999999)",0.5532452758642482,0.799026733236428,0.21,8.0,10.0,396.1900939941406,3.0,4.0,0.0,Car-Dependent,10,Not Transitable,0,Not Bikeable,0
90275,29404 STONECREST RD  RNCHO PALOS VRDS CA  90275,745796.0,2802,1,5,4,1970,20177574012026,2016-07-27,RANCHO PALOS VERDES,house,yes,"(33.7638593, -118.37855422)",0.5532452758642482,0.799026733236428,0.25,8.0,10.0,383.4526977539062,3.0,4.0,0.0,Car-Dependent,11,Not Transitable,0,Not Bikeable,0
90275,29635 STONECREST RD  RNCHO PALOS VRDS CA  90275,1316000.0,2448,1,4,3,1964,20177574014014,2016-07-01,RANCHO PALOS VERDES,house,no,"(33.760977200000006, -118.37720908)",0.5532452758642482,0.799026733236428,0.45,7.0,10.0,366.4064025878906,3.0,5.0,0.0,Car-Dependent,8,Not Transitable,0,Not Bikeable,0
90275,5704 SUNMIST DR  RNCHO PALOS VRDS CA  90275,1350000.0,2468,1,5,3,1964,20177574015044,2016-07-20,RANCHO PALOS VERDES,house,yes,"(33.760514659999998, -118.37485092)",0.5532452758642482,0.799026733236428,0.35,8.0,10.0,368.4447021484375,3.0,5.0,0.0,Car-Dependent,6,Not Transitable,0,Not Bikeable,0
90275,5634 SUNMIST DR  RNCHO PALOS VRDS CA  90275,1455000.0,2654,1,4,3,1965,20177574016047,2016-07-28,RANCHO PALOS VERDES,house,no,"(33.762192720000002, -118.37228962)",0.5532452758642482,0.799026733236428,0.18,8.0,10.0,377.2777099609375,2.0,3.0,0.0,Car-Dependent,26,Not Transitable,0,Not Bikeable,0
90275,5650 SUNMIST DR  RNCHO PALOS VRDS CA  90275,822300.0,2539,1,4,3,1968,20177574016048,2016-07-06,RANCHO PALOS VERDES,house,yes,"(33.761900410000003, -118.37286582)",0.5532452758642482,0.799026733236428,0.21,8.0,10.0,372.136962890625,2.0,3.0,0.0,Car-Dependent,26,Not Transitable,0,Not Bikeable,0
90275,26745 SHADOW WOOD DR  RNCHO PALOS VRDS CA  90275,286586.0,1334,1,3,2,1961,20177576029019,2016-07-13,RANCHO PALOS VERDES,house,no,"(33.782366119999999, -118.37104257)",0.5532452758642482,0.799026733236428,0.2,10.0,10.0,245.4312744140625,2.0,7.0,0.0,Car-Dependent,15,Not Transitable,0,Not Bikeable,0
90275,26940 BASSWOOD AVE  RNCHO PALOS VRDS CA  90275,395516.0,1662,1,3,2,1958,20177577014013,2016-07-12,RANCHO PALOS VERDES,house,no,"(33.780141780000001, -118.37581947)",0.5532452758642482,0.799026733236428,0.12,10.0,10.0,284.3200073242188,2.0,5.0,0.0,Car-Dependent,49,Not Transitable,0,Not Bikeable,0
90275,26937 BASSWOOD AVE  RNCHO PALOS VRDS CA  90275,958510.0,2064,1,4,3,1986,20177577019004,2016-07-01,RANCHO PALOS VERDES,house,no,"(33.77982094, -118.37629204)",0.5532452758642482,0.799026733236428,0.16,11.0,10.0,284.0021667480469,2.0,5.0,0.0,Car-Dependent,45,Not Transitable,0,Not Bikeable,0
90275,27023 SHOREWOOD RD  RNCHO PALOS VRDS CA  90275,990000.0,1659,1,4,2,1958,20177578006014,2016-07-15,RANCHO PALOS VERDES,house,no,"(33.780609089999999, -118.37760876)",0.5532452758642482,0.799026733236428,0.22,11.0,10.0,291.5350341796875,2.0,5.0,0.0,Car-Dependent,45,Not Transitable,0,Not Bikeable,0
90275,6020 SANDBROOK DR  RNCHO PALOS VRDS CA  90275,837747.0,2928,1,4,3,1970,20177578021025,2016-07-26,RANCHO PALOS VERDES,house,yes,"(33.788237670000001, -118.38461515)",0.5532452758642482,0.799026733236428,0.1,4.0,9.0,293.3746948242188,2.0,2.0,0.0,Car-Dependent,10,Not Transitable,0,Not Bikeable,0
90275,27930 ALVAREZ DR  RNCHO PALOS VRDS CA  90275,1064000.0,1554,1,3,3,1966,20177578028036,2016-07-15,RANCHO PALOS VERDES,house,yes,"(33.780005279999997, -118.38845157)",0.5532452758642482,0.799026733236428,0.5,7.0,9.0,347.4708251953125,2.0,4.0,0.0,Car-Dependent,24,Not Transitable,0,Not Bikeable,0
90275,6233 MONERO DR  RNCHO PALOS VRDS CA  90275,1450000.0,2197,1,3,2,1963,20177578029021,2016-07-13,RANCHO PALOS VERDES,house,no,"(33.781592940000003, -118.38806628)",0.5532452758642482,0.799026733236428,0.42,6.0,9.0,321.3169250488281,2.0,4.0,0.0,Car-Dependent,15,Not Transitable,0,Not Bikeable,0
90275,30220 CHERET PL  RNCHO PALOS VRDS CA  90275,878011.0,2106,1,3,3,1975,20177581003025,2016-07-01,RANCHO PALOS VERDES,house,no,"(33.756430620000003, -118.39052896)",0.5532452758642482,0.799026733236428,1.03,0.0,10.0,319.7860412597656,2.0,10.0,0.0,,0,,0,,0
90275,30178 CARTIER DR  RANCHO PALOS VERDES CA  90275,1978000.0,3562,1,4,5,2001,20177581006015,2016-07-19,RANCHO PALOS VERDES,house,no,"(33.756130079999998, -118.39304783)",0.5532452758642482,0.799026733236428,0.88,2.0,10.0,298.3593139648438,2.0,9.0,0.0,Car-Dependent,34,Not Transitable,0,Not Bikeable,0
90275,1 SAIL VIEW AVE  RANCHO PALOS VERDES CA  90275,1005145.0,3365,1,3,3,1999,20177581016037,2016-07-12,RANCHO PALOS VERDES,house,no,"(33.758811979999997, -118.38031633999999)",0.5532452758642482,0.799026733236428,0.61,5.0,10.0,341.7019958496094,2.0,5.0,0.0,Car-Dependent,8,Not Transitable,0,Not Bikeable,0
90275,6105 OCEAN TERRACE DR  RNCHO PALOS VRDS CA  90275,2280000.0,5261,1,5,6,1987,20177581021045,2016-07-15,RANCHO PALOS VERDES,house,yes,"(33.755579299999994, -118.38396066)",0.5532452758642482,0.799026733236428,0.89,3.0,10.0,325.7159118652344,2.0,9.0,0.0,Car-Dependent,2,Not Transitable,0,Not Bikeable,0
90275,2 BURRELL LN  RNCHO PALOS VRDS CA  90275,1787357.0,4553,1,4,5,1985,20177581032011,2016-07-11,RANCHO PALOS VERDES,house,yes,"(33.75656128, -118.36764468)",0.5532452758642482,0.799026733236428,0.42,6.0,2.0,353.4361572265625,1.0,4.0,0.0,Car-Dependent,7,Not Transitable,0,Not Bikeable,0
90275,30458 VIA RIVERA  RNCHO PALOS VRDS CA  90275,1700000.0,3184,1,5,3,1966,20177582008055,2016-07-01,RANCHO PALOS VERDES,house,yes,"(33.756972730000001, -118.40623026999999)",0.5532452758642482,0.799026733236428,0.16,2.0,10.0,129.4845123291016,2.0,8.0,0.0,Car-Dependent,19,Not Transitable,0,Not Bikeable,0
90275,7386 VIA LORADO  RNCHO PALOS VRDS CA  90275,907535.0,1860,1,3,2,1962,20177582014019,2016-07-20,RANCHO PALOS VERDES,house,no,"(33.75959383, -118.41274270000001)",0.5532452758642482,0.799026733236428,0.38,3.0,10.0,103.4021148681641,2.0,6.0,0.0,Car-Dependent,14,Not Transitable,0,Not Bikeable,0
90275,7447 VIA LORADO  RNCHO PALOS VRDS CA  90275,1785000.0,2573,1,4,5,1982,20177582015022,2016-07-05,RANCHO PALOS VERDES,house,no,"(33.760718830000002, -118.41375416)",0.5532452758642482,0.799026733236428,0.48,3.0,10.0,96.57369232177734,2.0,6.0,0.0,Car-Dependent,7,Not Transitable,0,Not Bikeable,0
90275,7327 VIA LORADO  RNCHO PALOS VRDS CA  90275,2499000.0,2917,1,4,3,1973,20177582016017,2016-07-15,RANCHO PALOS VERDES,house,no,"(33.761437559999997, -118.41316537)",0.5532452758642482,0.799026733236428,0.5,4.0,10.0,113.2377243041992,2.0,5.0,0.0,Car-Dependent,4,Not Transitable,0,Not Bikeable,0
90275,30027 VIA RIVERA  RNCHO PALOS VRDS CA  90275,1550000.0,2791,1,5,4,1969,20177582016027,2016-07-29,RANCHO PALOS VERDES,house,yes,"(33.762771970000003, -118.41061827)",0.5532452758642482,0.799026733236428,0.52,5.0,10.0,127.7016754150391,2.0,4.0,0.0,Car-Dependent,4,Not Transitable,0,Not Bikeable,0
90275,30302 VIA RIVERA  RNCHO PALOS VRDS CA  90275,1620000.0,3184,1,5,3,1966,20177582019024,2016-07-26,RANCHO PALOS VERDES,house,no,"(33.759468949999999, -118.40794906000001)",0.5532452758642482,0.799026733236428,0.28,4.0,10.0,126.4575653076172,2.0,6.0,0.0,Car-Dependent,9,Not Transitable,0,Not Bikeable,0
90275,7005 HARTCREST DR  RNCHO PALOS VRDS CA  90275,1145000.0,2076,1,3,2,1963,20177583002015,2016-07-01,RANCHO PALOS VERDES,house,no,"(33.775069610000003, -118.40186273)",0.5532452758642482,0.799026733236428,0.23,4.0,9.0,215.9162445068359,1.0,4.0,0.0,Car-Dependent,40,Not Transitable,0,Not Bikeable,0
90275,7016 HARTCREST DR  RNCHO PALOS VRDS CA  90275,1205000.0,2184,1,4,3,1963,20177583003008,2016-07-25,RANCHO PALOS VERDES,house,no,"(33.774556080000004, -118.40190775000001)",0.5532452758642482,0.799026733236428,0.2,4.0,9.0,214.4729919433594,1.0,4.0,0.0,Car-Dependent,9,Not Transitable,0,Not Bikeable,0
90275,7015 STARSTONE DR  RNCHO PALOS VRDS CA  90275,1427000.0,2283,1,4,3,1965,20177583004024,2016-07-22,RANCHO PALOS VERDES,house,no,"(33.77342196, -118.40205630000001)",0.5532452758642482,0.799026733236428,0.12,5.0,9.0,214.306640625,1.0,4.0,0.0,Car-Dependent,9,Not Transitable,0,Not Bikeable,0
90275,6617 MADELINE COVE DR  RNCHO PALOS VRDS CA  90275,454163.0,1539,1,4,2,1971,20177583019022,2016-07-25,RANCHO PALOS VERDES,house,no,"(33.771193910000001, -118.39517959999999)",0.5532452758642482,0.799026733236428,0.26,3.0,9.0,274.73196411132807,2.0,4.0,0.0,Car-Dependent,16,Not Transitable,0,Not Bikeable,0
90275,6836 ABBOTTSWOOD DR  RNCHO PALOS VRDS CA  90275,127118.0,1806,1,4,2,1963,20177583020015,2016-07-18,RANCHO PALOS VERDES,house,no,"(33.769302760000002, -118.39883146)",0.5532452758642482,0.799026733236428,0.25,4.0,9.0,243.8152160644531,1.0,5.0,0.0,Car-Dependent,10,Not Transitable,0,Not Bikeable,0
90275,7002 ABBOTTSWOOD DR  RNCHO PALOS VRDS CA  90275,1160000.0,1895,1,4,2,1963,20177583021011,2016-07-29,RANCHO PALOS VERDES,house,no,"(33.76837853, -118.4018335)",0.5532452758642482,0.799026733236428,0.23,6.0,9.0,212.4793243408203,1.0,4.0,0.0,Car-Dependent,5,Not Transitable,0,Not Bikeable,0
90275,6832 VERDE RIDGE RD  RNCHO PALOS VRDS CA  90275,165153.0,2420,1,4,3,1973,20177583027019,2016-07-19,RANCHO PALOS VERDES,house,no,"(33.766645160000003, -118.39808528)",0.5532452758642482,0.799026733236428,0.42,4.0,9.0,241.6494445800781,1.0,6.0,0.0,Car-Dependent,12,Not Transitable,0,Not Bikeable,0
90275,6608 VERDE RIDGE RD  RNCHO PALOS VRDS CA  90275,1500000.0,2420,1,4,3,1972,20177583028011,2016-07-26,RANCHO PALOS VERDES,house,yes,"(33.768264090000002, -118.39362823)",0.5532452758642482,0.799026733236428,0.37,4.0,9.0,292.2225036621094,2.0,4.0,0.0,Car-Dependent,20,Not Transitable,0,Not Bikeable,0
90275,6626 VERDE RIDGE RD  RNCHO PALOS VRDS CA  90275,653094.0,2836,1,5,4,1972,20177583028014,2016-07-11,RANCHO PALOS VERDES,house,no,"(33.76819321, -118.39421579)",0.5532452758642482,0.799026733236428,0.39,4.0,9.0,285.69775390625,2.0,4.0,0.0,Car-Dependent,20,Not Transitable,0,Not Bikeable,0
90275,6740 EL RODEO RD  RNCHO PALOS VRDS CA  90275,530329.0,1857,1,4,3,1979,20177583031018,2016-07-28,RANCHO PALOS VERDES,house,no,"(33.769301910000003, -118.39634595)",0.5532452758642482,0.799026733236428,0.37,3.0,9.0,264.20361328125,2.0,4.0,0.0,Car-Dependent,15,Not Transitable,0,Not Bikeable,0
90275,6902 KINGS HARBOR DR  RNCHO PALOS VRDS CA  90275,615084.0,1539,1,4,2,1972,20177583034002,2016-07-06,RANCHO PALOS VERDES,house,no,"(33.767179910000003, -118.39893269)",0.5532452758642482,0.799026733236428,0.36,5.0,9.0,230.3232116699219,1.0,6.0,0.0,Car-Dependent,11,Not Transitable,0,Not Bikeable,0
90275,6954 VERDE RIDGE RD  RNCHO PALOS VRDS CA  90275,1440000.0,2513,1,5,4,1973,20177583035008,2016-07-15,RANCHO PALOS VERDES,house,yes,"(33.765761589999997, -118.40109744)",0.5532452758642482,0.799026733236428,0.42,5.0,9.0,205.49212646484384,2.0,6.0,0.0,Car-Dependent,7,Not Transitable,0,Not Bikeable,0
90275,29021 TRAILRIDERS DR  RNCHO PALOS VRDS CA  90275,148855.0,1539,1,4,2,1977,20177583037019,2016-07-12,RANCHO PALOS VERDES,house,no,"(33.770471110000003, -118.39622120999999)",0.5532452758642482,0.799026733236428,0.34,4.0,9.0,267.85043334960943,2.0,4.0,0.0,Car-Dependent,17,Not Transitable,0,Not Bikeable,0
90275,7017 CHERTY DR  RNCHO PALOS VRDS CA  90275,424659.0,1434,1,3,2,1962,20177584020031,2016-07-22,RANCHO PALOS VERDES,house,no,"(33.777806030000001, -118.40251361)",0.5532452758642482,0.799026733236428,0.28,4.0,9.0,218.0851287841797,0.0,6.0,0.0,,0,,0,,0
90275,6944 LARKVALE DR  RNCHO PALOS VRDS CA  90275,1005000.0,1816,1,4,2,1962,20177584021015,2016-07-13,RANCHO PALOS VERDES,house,no,"(33.776477839999998, -118.40175779)",0.5532452758642482,0.799026733236428,0.28,4.0,9.0,218.2167816162109,1.0,5.0,0.0,Car-Dependent,6,Not Transitable,0,Not Bikeable,0
90275,28718 COVECREST DR  RNCHO PALOS VRDS CA  90275,157257.0,2224,1,4,2,1972,20177585007030,2016-07-11,RANCHO PALOS VERDES,house,no,"(33.771790850000002, -118.38744717)",0.5532452758642482,0.799026733236428,0.25,9.0,10.0,364.1197814941406,3.0,4.0,0.0,Car-Dependent,18,Not Transitable,0,Not Bikeable,0
90275,29024 COVECREST DR  RNCHO PALOS VRDS CA  90275,145712.0,2639,1,4,3,1966,20177585008022,2016-07-01,RANCHO PALOS VERDES,house,no,"(33.769089180000002, -118.3884173)",0.5532452758642482,0.799026733236428,0.34,8.0,10.0,349.7393798828125,3.0,4.0,0.0,Car-Dependent,20,Not Transitable,0,Not Bikeable,0
90275,"29375 INDIAN VALLEY RD, 1  RNCHO PALOS VRDS CA  90275",925000.0,2924,1,3,4,1989,20177585010046,2016-07-06,RANCHO PALOS VERDES,condo,no,"(33.766334919999998, -118.38906507999999)",0.5532452758642482,0.799026733236428,0.5,4.0,10.0,325.3452453613281,3.0,4.0,0.0,Car-Dependent,28,Not Transitable,0,Not Bikeable,0
90275,29422 INDIAN VALLEY RD  ROLLING HILLS ES CA  90275,995000.0,2051,1,4,3,2002,20177585011048,2016-07-29,ROLLING HILLS ESTATES,house,no,"(33.765480529999998, -118.38937794)",0.5532452758642482,0.799026733236428,0.55,4.0,10.0,316.0748291015625,4.0,4.0,0.0,Car-Dependent,25,Not Transitable,0,Not Bikeable,0
90275,10 VIA MALONA  RNCHO PALOS VRDS CA  90275,1985000.0,5630,1,5,6,1990,20177585013045,2016-07-21,RANCHO PALOS VERDES,house,no,"(33.7709695, -118.38455891)",0.5532452758642482,0.799026733236428,0.43,8.0,10.0,360.6415405273438,3.0,4.0,0.0,Car-Dependent,27,Not Transitable,0,Not Bikeable,0
90275,28608 COVERIDGE DR  RNCHO PALOS VRDS CA  90275,1209800.0,2122,1,4,3,1972,20177585018033,2016-07-26,RANCHO PALOS VERDES,house,no,"(33.773668579999999, -118.38857225)",0.5532452758642482,0.799026733236428,0.17,8.0,10.0,358.3667907714844,3.0,4.0,0.0,Car-Dependent,13,Not Transitable,0,Not Bikeable,0
90275,28716 DOVERRIDGE DR  RNCHO PALOS VRDS CA  90275,172119.0,2676,1,5,3,1969,20177585019020,2016-07-06,RANCHO PALOS VERDES,house,no,"(33.772900229999998, -118.39016799999999)",0.5532452758642482,0.799026733236428,0.07,6.0,9.0,332.4158020019531,2.0,3.0,0.0,Car-Dependent,27,Not Transitable,0,Not Bikeable,0
90275,28832 LEAH CIR  RNCHO PALOS VRDS CA  90275,593806.0,2944,1,5,3,1978,20177585020011,2016-07-06,RANCHO PALOS VERDES,house,yes,"(33.771982389999998, -118.39090277)",0.5532452758642482,0.799026733236428,0.09,5.0,9.0,324.7308349609375,2.0,4.0,0.0,Car-Dependent,27,Not Transitable,0,Not Bikeable,0
90275,5122 SILVER ARROW DR  RNCHO PALOS VRDS CA  90275,130076.0,2268,1,5,4,1964,20177586007008,2016-07-13,RANCHO PALOS VERDES,house,no,"(33.776630529999998, -118.37175827)",0.5532452758642482,0.799026733236428,0.29,11.0,10.0,306.6086120605469,2.0,6.0,0.0,Somewhat Walkable,65,Not Transitable,0,Not Bikeable,0
90275,27619 WARRIOR DR  RNCHO PALOS VRDS CA  90275,1035000.0,1442,1,3,2,1959,20177586008017,2016-07-07,RANCHO PALOS VERDES,house,no,"(33.774692700000003, -118.37004545000001)",0.5532452758642482,0.799026733236428,0.2,11.0,10.0,311.6867065429688,2.0,5.0,0.0,Car-Dependent,50,Not Transitable,0,Not Bikeable,0
90275,27515 WARRIOR DR  RNCHO PALOS VRDS CA  90275,965914.0,1896,1,3,3,1966,20177586008028,2016-07-22,RANCHO PALOS VERDES,house,yes,"(33.7755954, -118.37005622)",0.5532452758642482,0.799026733236428,0.24,11.0,10.0,305.5074157714844,2.0,6.0,0.0,Car-Dependent,45,Not Transitable,0,Not Bikeable,0
90275,27437 ELMBRIDGE DR  RNCHO PALOS VRDS CA  90275,985000.0,1868,1,3,2,1965,20177586016018,2016-07-27,RANCHO PALOS VERDES,house,no,"(33.775755799999999, -118.36568321999999)",0.5532452758642482,0.799026733236428,0.19,12.0,10.0,258.52099609375,2.0,6.0,0.0,Car-Dependent,33,Not Transitable,0,Not Bikeable,0
90275,27912 LONGHILL DR  RNCHO PALOS VRDS CA  90275,1450000.0,2440,1,5,3,2000,20177586023018,2016-07-26,RANCHO PALOS VERDES,house,no,"(33.772667079999998, -118.36340246)",0.5532452758642482,0.799026733236428,0.21,12.0,10.0,294.4580383300781,2.0,5.0,0.0,Somewhat Walkable,51,Not Transitable,0,Not Bikeable,0
90275,"28326 RIDGEFALLS CT, UNIT 131  RANCHO PALOS VERDES CA  90275",698998.0,2067,1,3,3,1977,20177587001132,2016-07-25,RANCHO PALOS VERDES,condo,no,"(33.77673798, -118.3913622)",0.5532452758642482,0.799026733236428,0.24,4.0,9.0,333.8173522949219,2.0,5.0,0.0,,0,Not Transitable,0,Not Bikeable,0
90275,27942 RIDGECOVE CT N  RNCHO PALOS VRDS CA  90275,301004.0,1566,1,3,3,1973,20177587003053,2016-07-06,RANCHO PALOS VERDES,pud,no,"(33.777738810000002, -118.38800197)",0.5532452758642482,0.799026733236428,0.37,8.0,9.0,344.5079345703125,2.0,4.0,0.0,Car-Dependent,30,Not Transitable,0,Not Bikeable,0
90275,28020 RIDGECOVE CT N  RNCHO PALOS VRDS CA  90275,418735.0,1478,1,3,3,1973,20177587003071,2016-07-08,RANCHO PALOS VERDES,pud,no,"(33.777738810000002, -118.38800197)",0.5532452758642482,0.799026733236428,0.37,8.0,9.0,344.5079345703125,2.0,4.0,0.0,Car-Dependent,30,Not Transitable,0,Not Bikeable,0
