,ZIPcode5,PropertyLocation,TotalValue,SQFTmain,Bedrooms,Bathrooms,EffectiveYearBuilt,rowID,RecordingDate,house_type,pool,coordinates
761,90275,7363 VIA LORADO  RNCHO PALOS VRDS CA  90275,$1458600.00,2288,3,3,1962,20177582015010,2016-06-20,house,no,"(33.760188130000003, -118.41273719)"
787,90275,30318 VIA BORICA  RNCHO PALOS VRDS CA  90275,$133677.00,2681,4,3,1970,20177582019035,2016-06-28,house,no,"(33.75933173, -118.40629806)"
800,90275,25 VIA DEL CIELO  RANCHO PALOS VERDES CA  90275,$4774680.00,6743,7,9,2004,20177582022090,2016-06-06,house,yes,"(33.753859179999999, -118.41205222000001)"
810,90275,6911 WILLOWTREE DR  RNCHO PALOS VRDS CA  90275,$1076610.00,1716,3,2,1963,20177583003032,2016-06-01,house,no,"(33.774915929999999, -118.40057616999999)"
823,90275,7022 GROVESPRING DR  RNCHO PALOS VRDS CA  90275,$528247.00,1680,3,2,1963,20177583009014,2016-06-01,house,no,"(33.769238049999998, -118.40255464000001)"
836,90275,28425 TRAILRIDERS DR  RNCHO PALOS VRDS CA  90275,$999600.00,1716,3,2,1964,20177583013014,2016-06-08,house,no,"(33.775536580000001, -118.399495)"
837,90275,28405 TRAILRIDERS DR  RNCHO PALOS VRDS CA  90275,$646096.00,2271,5,3,1964,20177583013017,2016-06-21,house,yes,"(33.77604092, -118.39971192)"
843,90275,6625 ABBOTTSWOOD DR  RNCHO PALOS VRDS CA  90275,$133462.00,2056,4,3,1963,20177583018020,2016-06-30,house,no,"(33.771877549999999, -118.39561983999999)"
861,90275,6816 VERDE RIDGE RD  RNCHO PALOS VRDS CA  90275,$331748.00,2278,4,3,1973,20177583027015,2016-06-15,house,no,"(33.766403089999997, -118.39747025)"
876,90275,6637 EL RODEO RD  RNCHO PALOS VRDS CA  90275,$154255.00,1539,4,2,1971,20177583030021,2016-06-02,house,no,"(33.770314829999997, -118.39510924)"
877,90275,29106 WHITES POINT DR  RNCHO PALOS VRDS CA  90275,$1147500.00,2420,4,3,1971,20177583030029,2016-06-22,house,no,"(33.770469290000001, -118.39349593999999)"
883,90275,6763 VERDE RIDGE RD  RNCHO PALOS VRDS CA  90275,$1461048.00,2788,5,3,1972,20177583033024,2016-06-13,house,yes,"(33.767939949999999, -118.39676917)"
888,90275,6937 KINGS HARBOR DR  RNCHO PALOS VRDS CA  90275,$1448400.00,2352,4,3,1973,20177583036001,2016-06-09,house,no,"(33.767194770000003, -118.40016393000001)"
893,90275,"6526 OCEAN CREST DR, A203  RNCHO PALOS VRDS CA  90275",$574260.00,1240,2,2,1973,20177583038020,2016-06-24,condo,no,"(33.763498390000002, -118.39378198)"
894,90275,"6526 OCEAN CREST DR, NO A-205  RNCHO PALOS VRDS CA  90275",$311100.00,431,0,1,1973,20177583038022,2016-06-02,condo,no,"(33.763498390000002, -118.39378198)"
923,90275,28325 GOLDEN MEADOW DR  RNCHO PALOS VRDS CA  90275,$1266330.00,1816,4,2,1962,20177584002021,2016-06-21,house,no,"(33.776586289999997, -118.40347883)"
932,90275,6543 MONERO DR  RNCHO PALOS VRDS CA  90275,$119940.00,1684,3,2,1962,20177584005006,2016-06-23,house,no,"(33.781599610000001, -118.39388485000001)"
944,90275,28361 PLAINFIELD DR  RNCHO PALOS VRDS CA  90275,$1581000.00,2484,4,3,1964,20177584009023,2016-06-02,house,no,"(33.77631633, -118.39649179)"
955,90275,6644 MONERO DR  RNCHO PALOS VRDS CA  90275,$988100.00,2203,3,3,1963,20177584013001,2016-06-27,house,no,"(33.781111500000002, -118.39627577)"
972,90275,28104 LOBROOK DR  RNCHO PALOS VRDS CA  90275,$133034.00,1691,4,2,1970,20177584017038,2016-06-08,house,no,"(33.778741499999995, -118.39900369999999)"
992,90275,28336 LUNADA RIDGE DR  RNCHO PALOS VRDS CA  90275,$1323960.00,2166,4,3,1969,20177585003146,2016-06-28,house,no,"(33.773354849999997, -118.38365881999999)"
1004,90275,29013 INDIAN VALLEY RD  RNCHO PALOS VRDS CA  90275,$859692.00,1893,4,2,1965,20177585009024,2016-06-27,house,no,"(33.768901139999997, -118.38703063)"
1037,90275,28527 COVERIDGE DR  RNCHO PALOS VRDS CA  90275,$1528980.00,2313,5,3,1972,20177585018028,2016-06-27,house,no,"(33.773849409999997, -118.3892986)"
1068,90274,37 CLEAR VISTA DR  ROLLING HILLS ES CA  90274,$1079996.00,3305,4,4,1980,20177585031085,2016-06-27,house,yes,"(33.760642660000002, -118.38649588)"
1081,90274,10 SAN MIGUEL  ROLLING HILLS ES CA  90274,$1331722.00,4678,5,6,2001,20177585036023,2016-06-24,house,yes,"(33.758110430000002, -118.38782075)"
1084,90274,3 SANTA ROSA  ROLLING HILLS ES CA  90274,$3529200.00,4511,5,6,1999,20177585037017,2016-06-07,house,no,"(33.760015809999999, -118.38806949000001)"
1089,90275,5013 SILVER ARROW DR  RNCHO PALOS VRDS CA  90275,$1450950.00,2276,4,3,1970,20177586002003,2016-06-22,house,no,"(33.77981149, -118.36905806999999)"
1097,90275,5045 BROWNDEER LN  RNCHO PALOS VRDS CA  90275,$752577.00,2592,5,3,1966,20177586006002,2016-06-06,house,no,"(33.77634544, -118.36889802)"
1112,90275,5210 SILVER ARROW DR  RNCHO PALOS VRDS CA  90275,$426936.00,1442,3,2,1959,20177586011026,2016-06-06,house,no,"(33.776096920000001, -118.37313661)"
1122,90275,4829 BROWNDEER LN  RNCHO PALOS VRDS CA  90275,$142641.00,2148,4,3,1966,20177586017017,2016-06-28,house,no,"(33.778232989999999, -118.36503868)"
1130,90275,4665 BROWNDEER LN  ROLLING HILLS ES CA  90275,$1095529.00,2189,4,3,1965,20177586020015,2016-06-02,house,no,"(33.775022890000002, -118.36245913)"
1149,90275,"28124 RIDGETHORNE CT, UNIT  95  RANCHO PALOS VERDES CA  90275",$841500.00,2219,3,3,1977,20177587001096,2016-06-30,condo,no,"(33.77673798, -118.3913622)"
1155,90275,6305 RIDGEMAR CT  RNCHO PALOS VRDS CA  90275,$423901.00,2005,3,3,1975,20177587002060,2016-06-20,pud,no,"(33.778034929999997, -118.38954070000001)"
1183,90275,28035 RIDGEBROOK CT  RNCHO PALOS VRDS CA  90275,$484500.00,1156,2,2,1974,20177587005075,2016-06-27,pud,no,"(33.777762469999999, -118.38566994999999)"
1186,90275,28133 RIDGECOVE CT S  RNCHO PALOS VRDS CA  90275,$719100.00,1439,3,3,1974,20177587006054,2016-06-22,pud,no,"(33.775814029999999, -118.38687941000001)"
1196,90275,"5987 PEACOCK RIDGE RD, NO 209  RNCHO PALOS VRDS CA  90275",$591600.00,1697,2,3,1974,20177587007039,2016-06-16,condo,no,"(33.775416470000003, -118.38499471999999)"
1217,90275,"5937 ARMAGA SPRING RD, UNIT   D  RNCHO PALOS VRDS CA  90275",$484500.00,1071,2,2,1969,20177587009017,2016-06-20,condo,no,"(33.77249132, -118.38255649999999)"
1225,90275,"5947 ARMAGA SPRING RD, UNIT   N  RNCHO PALOS VRDS CA  90275",$221408.00,1071,2,2,1969,20177587009080,2016-06-29,condo,no,"(33.77249132, -118.38255649999999)"
1234,90275,7121 AVENIDA ALTISIMA  RNCHO PALOS VRDS CA  90275,$223668.00,3130,4,4,1967,20177588005005,2016-06-02,house,no,"(33.763688889999997, -118.40642990000001)"
1245,90275,30358 CAMINO PORVENIR  RNCHO PALOS VRDS CA  90275,$264023.00,3717,5,3,1971,20177588009012,2016-06-22,house,no,"(33.758872869999998, -118.40228390000001)"
1251,90275,30257 AVENIDA DE CALMA  RNCHO PALOS VRDS CA  90275,$913767.00,2882,4,3,1972,20177588010026,2016-06-10,house,no,"(33.759782200000004, -118.4042838)"
1267,90275,6795 VALLON DR  RNCHO PALOS VRDS CA  90275,$908035.00,3260,5,3,1968,20177588019019,2016-06-28,house,no,"(33.748717210000002, -118.39638771)"
1274,90275,6991 ALTA VISTA DR  RNCHO PALOS VRDS CA  90275,$1774800.00,3412,4,4,1982,20177588022035,2016-06-28,house,no,"(33.753328670000002, -118.39703496)"
1286,90274,"901 DEEP VALLEY DR, 310  ROLLING HILLS ESTATES CA  90274",$423300.00,670,1,1,2008,20177589003060,2016-06-13,condo,no,"(33.768404109999999, -118.36769452)"
1288,90275,"5700 RAVENSPUR DR, NO   301  RNCHO PALOS VRDS CA  90275",$64802.00,1240,2,2,1964,20177589006029,2016-06-24,condo,no,"(33.777301029999997, -118.38114840000001)"
1296,90275,"5718 RAVENSPUR DR, NO 304  RNCHO PALOS VRDS CA  90275",$520200.00,1507,2,2,1973,20177589006081,2016-06-14,condo,no,"(33.777730179999999, -118.38165644999999)"
1305,90274,79 COTTONWOOD CIR  ROLLING HILLS ES CA  90274,$877200.00,1994,3,3,1974,20177589008039,2016-06-06,pud,no,"(33.773848020000003, -118.38020507)"
1316,90274,158 ASPEN WAY  ROLLING HILLS ES CA  90274,$759900.00,1590,2,2,1974,20177589009030,2016-06-29,pud,no,"(33.773604929999998, -118.37894305)"
1367,90670,11237 BROADED ST  SANTA FE SPRINGS CA  90670,$61419.00,1558,4,2,1957,20178001016007,2016-06-20,house,no,"(33.95643639, -118.0800121)"
1374,90670,9233 VICKI DR  SANTA FE SPRINGS CA  90670,$450000.00,1323,3,2,1956,20178001017033,2016-06-20,house,no,"(33.958403029999999, -118.08110413)"
1379,90670,9237 FLALLON AVE  SANTA FE SPRINGS CA  90670,$88927.00,1586,4,2,1965,20178001021026,2016-06-23,house,no,"(33.957215159999997, -118.08023282000001)"
1390,90670,9403 ARLEE AVE  SANTA FE SPRINGS CA  90670,$229745.00,1106,3,2,1955,20178002003027,2016-06-20,house,no,"(33.954258459999998, -118.07733877)"
1417,90670,11739 SUNGLOW ST  SANTA FE SPRINGS CA  90670,$300609.00,1458,3,2,1951,20178005004023,2016-06-02,house,no,"(33.951849009999997, -118.0780357)"
1418,90670,11602 SUNGLOW ST  SANTA FE SPRINGS CA  90670,$50523.00,1099,3,1,1951,20178005005001,2016-06-08,house,no,"(33.952374919999997, -118.08088918)"
1421,90670,9630 ALBURTIS AVE  SANTA FE SPRINGS CA  90670,$52343.00,1086,3,1,1951,20178005006001,2016-06-27,house,no,"(33.951692459999997, -118.081249)"
1426,90670,11702 ROMA ST  SANTA FE SPRINGS CA  90670,$494700.00,1433,4,1,1953,20178005007011,2016-06-02,house,yes,"(33.950465180000002, -118.08004879000001)"
1445,90670,9416 HOUGHTON AVE  SANTA FE SPRINGS CA  90670,$294730.00,1157,2,1,1952,20178006001017,2016-06-01,house,no,"(33.954249109999999, -118.0827331)"
1449,90670,9416 PIONEER BLVD  SANTA FE SPRINGS CA  90670,$467160.00,1368,3,3,1963,20178006005019,2016-06-10,house,no,"(33.95538114, -118.08569031)"
1455,90670,11533 WILLINS ST  SANTA FE SPRINGS CA  90670,$55463.00,1104,2,1,1951,20178006009008,2016-06-10,house,no,"(33.950821150000003, -118.08582568)"
1457,90670,11527 WILLAKE ST  SANTA FE SPRINGS CA  90670,$293249.00,1007,3,1,1951,20178006011012,2016-06-13,house,no,"(33.949599429999999, -118.08672386000001)"
1477,90670,9759 ORR AND DAY RD  SANTA FE SPRINGS CA  90670,$318623.00,1396,3,1,1954,20178006015040,2016-06-02,house,no,"(33.951277740000002, -118.08833193)"
1489,90670,9614 BRADWELL AVE  SANTA FE SPRINGS CA  90670,$367200.00,818,2,1,1950,20178006023007,2016-06-15,house,no,"(33.9536674, -118.08837751)"
1493,90670,10007 CEDARDALE DR  SANTA FE SPRINGS CA  90670,$349483.00,1650,4,2,1954,20178007002009,2016-06-13,house,no,"(33.947874839999997, -118.09458603)"
1495,90670,9983 CEDARDALE DR  SANTA FE SPRINGS CA  90670,$438600.00,1173,2,2,1955,20178007002021,2016-06-15,house,yes,"(33.948290309999997, -118.09354876)"
1497,90670,9996 CEDARDALE DR  SANTA FE SPRINGS CA  90670,$459000.00,1191,3,2,1965,20178007002024,2016-06-08,house,no,"(33.947796480000001, -118.09412019)"
1505,90670,9962 HARVEST AVE  SANTA FE SPRINGS CA  90670,$421800.00,2143,4,3,1953,20178007009017,2016-06-01,house,no,"(33.948062489999998, -118.09193997)"
1507,90670,11331 DAVENRICH ST  SANTA FE SPRINGS CA  90670,$227572.00,1295,3,2,1953,20178007009040,2016-06-02,house,yes,"(33.94602166, -118.09149475)"
1518,90670,11225 IDALENE ST  SANTA FE SPRINGS CA  90670,$270921.00,1313,3,2,1952,20178007018053,2016-06-08,house,no,"(33.942387490000002, -118.09386738000001)"
1524,90670,10225 HARVEST AVE  SANTA FE SPRINGS CA  90670,$58449.00,1313,3,2,1952,20178007019014,2016-06-30,house,no,"(33.943685299999991, -118.092725)"
1532,90670,10149 ORR AND DAY RD  SANTA FE SPRINGS CA  90670,$433500.00,1351,3,2,1953,20178007021007,2016-06-01,house,no,"(33.944728249999997, -118.09104956)"
1541,90670,10362 LONGWORTH AVE  SANTA FE SPRINGS CA  90670,$474300.00,1381,3,2,1952,20178007026021,2016-06-24,house,no,"(33.941093090000003, -118.09304976999999)"
1546,90670,11226 PARKMEAD ST  SANTA FE SPRINGS CA  90670,$411513.00,1295,3,2,1952,20178007032027,2016-06-28,house,no,"(33.940496879999998, -118.09462528)"
1562,90670,11509 PROMENADE DR  SANTA FE SPRINGS CA  90670,$372276.00,1407,3,3,1994,20178008004051,2016-06-08,pud,no,"(33.947286299999995, -118.08953049)"
1563,90670,11501 PROMENADE DR  SANTA FE SPRINGS CA  90670,$377400.00,1514,3,3,1994,20178008004055,2016-06-02,pud,no,"(33.94736589, -118.08992691)"
1570,90670,11563 ELKHURST ST  SANTA FE SPRINGS CA  90670,$375360.00,818,2,1,1950,20178008007036,2016-06-08,house,no,"(33.94543891, -118.08651792000001)"
1600,90670,11750 GARETAL ST  SANTA FE SPRINGS CA  90670,$406980.00,1175,3,2,1962,20178008021023,2016-06-24,house,no,"(33.941224120000001, -118.08277316)"
1606,90670,11703 IDALENE ST  SANTA FE SPRINGS CA  90670,$106173.00,1307,3,1,1961,20178008023013,2016-06-30,house,yes,"(33.94230915, -118.0843213)"
1610,90670,10226 FLALLON AVE  SANTA FE SPRINGS CA  90670,$535500.00,2064,4,3,1986,20178008023052,2016-06-09,house,no,"(33.943620039999999, -118.085132)"
1612,90670,10221 FLALLON AVE  SANTA FE SPRINGS CA  90670,$395684.00,821,2,1,1951,20178008025023,2016-06-24,house,no,"(33.943796310000003, -118.08564131999999)"
1643,90670,12469 HERITAGE SPRINGS DR  SANTA FE SPRINGS CA  90670,$477464.00,2166,4,3,2012,20178009002078,2016-06-01,condo,no,"(33.940979810000002, -118.06678846)"
1673,90670,12599 JUNIPER TER  SANTA FE SPRINGS CA  90670,$587282.00,2510,4,3,2013,20178009004123,2016-06-24,pud,no,"(33.940124760000003, -118.06473259999999)"
1754,90650,11912 PLUTON ST  NORWALK CA  90650,$543150.00,2213,4,3,1976,20178015008003,2016-06-10,house,no,"(33.928522899999997, -118.07909909999999)"
