Data Sourcde,Data Type,Keep / del,0,1
ListAgentLastName,,keep,Grimes,Abbott
ListAgentMiddleName,,keep,Elias,Charles
ListAgentMlsId,,keep,5af601adcd966d3afc88e144,5af601aecd966d3afc88ee40
ListAgentNamePrefix,,keep,,
ListAgentNameSuffix,,keep,,
ListAgentOfficePhone,,keep,,
ListAgentOfficePhoneExt,,keep,,
ListAgentPager,,keep,,
ListAgentPreferredPhone,,keep,406-817-8444,(918) 920-9447 x8179
ListAgentPreferredPhoneExt,,keep,,
ListAgentStateLicense,,keep,,
ListAgentTollFreePhone,,keep,,
ListAgentURL,,keep,,
ListAgentVoiceMail,,keep,,
ListAgentVoiceMailExt,,keep,,
ListOfficeAOR,,keep,,
ListOfficeEmail,,keep,,
ListOfficeFax,,keep,,
ListOfficeKey,,keep,O_5af6019c75f1043ad481da44,O_5af6019c75f1043ad481d9b5
ListOfficeKeyNumeric,,keep,,
ListOfficeMlsId,,keep,5af6019c75f1043ad481da45,5af6019c75f1043ad481d9b6
ListOfficeName,,keep,Kihn-Armstrong Realty,Hilpert Inc Realty
ListOfficePhone,,keep,,
ListOfficePhoneExt,,keep,,
ListOfficeURL,,keep,,
ListPrice,,keep,238220,595373
ListPriceLow,,keep,,
ListTeamKey,,keep,,
ListTeamKeyNumeric,,del,,
ListTeamName,,del,,
ListingAggreement,,del,Open Listing,Open Listing
ListingAgreement,,del,,
ListingContractDate,,keep,2018-05-11T20:49:26.369Z,2018-05-11T20:50:27.653Z
ListingId,,keep,5af601d6fc76173b3482beff,5af60213fc76173b3483627e
ListingInputOriginalMedia,,del,,
ListingKey,,keep,P_5af601d6fc76173b3482befe,P_5af60213fc76173b3483627d
ListingKeyNumeric,,del,,
ListingService,,del,Full Service,Full Service
ListingTerms,,keep,['Cash'],
LivingArea,,keep,1036,4837
LivingAreaSource,,keep,Estimate,Agent
LivingAreaUnits,,keep,SquareFeet,SquareFeet
LockBoxLocation,,del,Omnis perspiciatis nesciunt fuga ea nemo asperiores sunt. Sint esse commodi sunt. Ut exercitationem laborum illo nihil temporibus occaecati officia fuga. Provident laborum explicabo non et exercitationem. Eius adipisci ipsam commodi et officiis.,Quia odio ad at aperiam in illum quia. Consequatur omnis molestiae pariatur quo laboriosam incidunt nam omnis. Et praesentium cumque neque libero est dolores non. Temporibus qui autem rerum aliquam asperiores dolores.
LockBoxSerialNumber,,del,vm6fyil8s2aeiz8ukyetodps9,bote56r08ru2erecz447ort6y
LockBoxType,,del,Expedita nobis aut iure tempore sit eum assumenda. Vel sunt perspiciatis veniam eveniet eligendi inventore est. Necessitatibus tempora praesentium recusandae quia. Sequi qui rem vel velit error laudantium dolor.,Quia deleniti culpa non sapiente velit non beatae praesentium. Totam labore quas culpa recusandae et sit hic. Magnam dolore perspiciatis velit aliquid voluptatem neque dolores dolores. Voluptatem quo deleniti ab dolorem explicabo molestias exercitationem.
Longitude,,keep,-122.4203009,-122.4217545
LotDimensionsSource,,keep,Agent,Estimate
LotFeatures,,keep,"['placeat', 'illum', 'nisi', 'provident', 'et']","['sit', 'nesciunt']"
LotSizeAcres,,keep,2,2
LotSizeArea,,keep,,
LotSizeDimensions,,keep,801 x 261 x 701 x 25,737 x 782 x 533 x 794
LotSizeDimensionsSource,,keep,Estimate,Assessor
LotSizeSource,,keep,Agent,Assessor
LotSizeSquareFeet,,keep,1925,1887
LotSizeUnits,,keep,,
MLSAreaMajor,,keep,,
MLSAreaMinor,,keep,,
MainLevelBathrooms,,keep,1,1
MainLevelBedrooms,,keep,,
MaintenanceExpense,,keep,,
MajorChangeTimestamp,,keep,,
MajorChangeType,,keep,Price reduction,Price reduction
MajoreChangeTimestamp,,keep,2017-07-23T15:56:45.316Z,2018-03-15T15:51:17.620Z
Make,,del,,
ManagerExpense,,del,,
MapCoordinate,,del,,
MapCoordinateSource,,del,,
MapURL,,del,,
Media,,keep,"[{'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/10.jpg', 'ShortDescription': 'Congregatio vinculum arceo.', 'MimeType': 'image/jpeg', 'Order': 1, 'MediaObjectID': 'ME_5af601d6fc76173b3482befc'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/02.jpg', 'ShortDescription': 'Combibo statim depraedor blanditiis accusamus causa.', 'MimeType': 'image/jpeg', 'Order': 2, 'MediaObjectID': 'ME_5af601d6fc76173b3482befd'}]","[{'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/13.jpg', 'ShortDescription': 'Carcer id aegrotatio quo cui.', 'MimeType': 'image/jpeg', 'Order': 1, 'MediaObjectID': 'ME_5af60213fc76173b34836274'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/22.jpg', 'ShortDescription': 'Caveo id corporis veritatis ullam dolorem.', 'MimeType': 'image/jpeg', 'Order': 2, 'MediaObjectID': 'ME_5af60213fc76173b34836275'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/09.jpg', 'ShortDescription': 'Stultus velit cerno usque sequi quas.', 'MimeType': 'image/jpeg', 'Order': 3, 'MediaObjectID': 'ME_5af60213fc76173b34836276'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/28.jpg', 'ShortDescription': 'Conatus solio voluptatum sui aut suspendo.', 'MimeType': 'image/jpeg', 'Order': 4, 'MediaObjectID': 'ME_5af60213fc76173b34836277'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/24.jpg', 'ShortDescription': 'Aliqua ut addo aurum vilicus.', 'MimeType': 'image/jpeg', 'Order': 5, 'MediaObjectID': 'ME_5af60213fc76173b34836278'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/19.jpg', 'ShortDescription': 'Taceo repudiandae optio.', 'MimeType': 'image/jpeg', 'Order': 6, 'MediaObjectID': 'ME_5af60213fc76173b34836279'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/33.jpg', 'ShortDescription': 'Sursum deludo infit sint pauper.', 'MimeType': 'image/jpeg', 'Order': 7, 'MediaObjectID': 'ME_5af60213fc76173b3483627a'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/03.jpg', 'ShortDescription': 'Vitae fuga rerum rem adflicto summopere.', 'MimeType': 'image/jpeg', 'Order': 8, 'MediaObjectID': 'ME_5af60213fc76173b3483627b'}, {'MediaURL': 'https://s3.amazonaws.com/retsly-importd-production/test_data/listings/16.jpg', 'ShortDescription': 'Alioqui corrupti conturbo.', 'MimeType': 'image/jpeg', 'Order': 9, 'MediaObjectID': 'ME_5af60213fc76173b3483627c'}]"
MiddleOrJuniorSchool,,keep,Wolff-Dooley,Hodkiewicz Group
MiddleOrJuniorSchoolDistrict,,keep,Rhode Island,Washington
MlsStatus,,keep,Active,Active
MobileDimUnits,,del,,
MobileHomeRemainsYN,,del,,
MobileLength,,del,,
MobileWidth,,del,,
Model,,del,,
ModificationTimestamp,,keep,2018-05-10T20:13:09.570Z,2017-06-20T18:38:15.755Z
NetOperatingIncome,,keep,,
NewConstructionYN,,keep,TRUE,TRUE
NewTaxesExpense,,keep,,
NumberOfBuildings,,keep,,
NumberOfFullTimeEmployees,,del,,
NumberOfLots,,del,,
NumberOfPads,,del,,
NumberOfPartTimeEmployees,,del,,
NumberOfSeparateElectricMeters,,keep,,
NumberOfSeparateGasMeters,,keep,,
NumberOfSeparateWaterMeters,,keep,,
NumberOfUnitsInCommunity,,keep,,
NumberOfUnitsLeased,,keep,,
NumberOfUnitsMoMo,,keep,,
NumberOfUnitsTotal,,keep,79,179
NumberOfUnitsVacant,,keep,,
OccupantName,,del,Jimmie Jarvis Gutkowski,Jordy Bernita Borer
OccupantPhone,,del,(423) 276-9831 x7304,231.564.2353 x5501
OccupantType,,del,Vacant,Owner
OffMarketDate,,keep,,
OffMarketTimestamp,,keep,,
OnMarketDate,,keep,2017-12-02T20:49:26.369Z,2017-10-27T20:50:27.653Z
OnMarketTimestamp,,keep,,
OpenParkingSpaces,,del,,
OpenParkingYN,,del,FALSE,FALSE
OperatingExpense,,keep,,
OperatingExpenseIncludes,,keep,,
OriginalEntryTimestamp,,keep,2017-11-24T17:18:24.509Z,2017-07-22T15:39:05.719Z
OriginalListPrice,,keep,467704,717393
OriginatingSystemID,,keep,test,test
OriginatingSystemKey,,keep,test,test
OriginatingSystemName,,keep,Test,Test
OtherEquipment,,keep,"['Generator', 'Central Vacuum Nozzle', 'Satellite Dish', 'TV Antenna', '']","['', 'Central Vacuum Nozzle']"
OtherExpense,,keep,,
OtherParking,,del,,
OtherStructures,,keep,"['illum', 'impedit']","['nam', 'atque', 'omnis', 'consectetur', 'fugit', 'magni', 'est']"
OwnerName,,del,,
OwnerPays,,del,,
OwnerPhone,,del,,
Ownership,,del,Partnership,Sole P
OwnershipType,,del,,
ParcelNumber,,del,1583,1370
ParkManagerName,,del,,
