StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q10,Q11,Q12,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_8,Q25_10,Q25_11,Q25_12,Q25_14,Q26
2018-07-22 09:12:40,2018-07-22 11:58:48,IP Address,73.69.2.47,100,9968,True,2018-07-22 11:58:48,R_3s1amyQhDpLwb4M,,,,,42.380004882812,-71.13289642334,anonymous,EN,35,25,40,40,4,1,40,15,20,30,30,15,5,8,9,4,10,2,1,7,3,6,5,No
2018-07-23 10:19:27,2018-07-23 10:26:47,IP Address,204.14.239.137,100,440,True,2018-07-23 10:26:48,R_3kaItFuAoMeqf53,,,,,37.779403686523,-122.41699981689,anonymous,EN,40,60,0,20,10,10,34,26,30,20,10,10,30,7,4,1,9,5,2,10,3,6,8,Yes
2018-07-23 09:06:44,2018-07-23 12:19:18,IP Address,69.218.222.222,100,11554,True,2018-07-23 12:19:19,R_25NNQPnl2DufdXZ,,,,,35.913299560547,-79.159202575684,anonymous,EN,35,5,3,25,1,1,25,5,15,15,30,20,20,8,5,6,3,4,7,2,1,9,10,No
2018-07-23 13:17:57,2018-07-23 13:36:46,IP Address,162.246.32.7,100,1128,True,2018-07-23 13:36:46,R_3dzkK9e5CWBmS8V,,,,,29.752700805664,-95.409896850586,anonymous,EN,35,50,15,70,10,0,20,0,20,5,10,40,25,7,5,4,3,6,8,2,1,9,10,No
2018-07-25 01:13:36,2018-07-25 01:19:48,IP Address,24.18.160.124,100,371,True,2018-07-25 01:19:48,R_RKAg4VNCl7c74qt,,,,,47.552703857422,-122.14790344238,anonymous,EN,0,0,15,0,0,10,15,60,20,20,0,0,60,3,2,7,8,1,5,10,9,4,6,No
2018-07-25 19:43:39,2018-07-25 19:47:53,IP Address,128.177.113.106,100,253,True,2018-07-25 19:47:53,R_1GP272HY9fAZCNt,,,,,37.789794921875,-122.39419555664,anonymous,EN,10,10,10,10,0,0,30,0,10,10,0,0,10,7,3,4,5,2,10,1,8,6,9,No
2018-07-25 20:03:28,2018-07-25 20:09:37,IP Address,95.245.8.186,100,368,True,2018-07-25 20:09:37,R_3I4xwhdiaXOGkrD,,,,,45.649993896484,9.2055053710938,anonymous,EN,40,30,30,10,10,10,30,40,30,30,10,20,10,2,8,5,10,1,4,3,7,9,6,No
2018-07-25 20:04:38,2018-07-25 20:10:41,IP Address,172.113.254.67,100,362,True,2018-07-25 20:10:41,R_YWRFELHtdR2jGW5,,,,,34.065704345703,-118.43620300293,anonymous,EN,50,50,0,25,25,15,35,0,20,20,20,20,20,7,5,1,9,4,2,10,6,8,3,Yes
2018-07-25 21:11:50,2018-07-25 21:17:20,IP Address,172.113.47.97,100,330,True,2018-07-25 21:17:21,R_VKZn1vXLpsF5iyR,,,,,34.081497192383,-118.17919921875,anonymous,EN,45,40,15,25,70,5,0,0,22,12,22,22,22,6,1,4,9,2,8,10,5,3,7,Yes
2018-07-25 19:52:55,2018-07-25 21:27:38,IP Address,104.175.197.180,100,5682,True,2018-07-25 21:27:38,R_1IibOHWUTbAg2hL,,,,,34.029098510742,-118.39929962158,anonymous,EN,20,20,60,10,10,10,20,50,30,20,10,30,10,6,7,1,8,5,3,10,4,9,2,Yes
2018-07-26 06:02:27,2018-07-26 06:14:42,IP Address,174.202.21.178,100,734,True,2018-07-26 06:14:42,R_3LXPa83bsG5TMzx,,,,,40.744903564453,-73.978202819824,anonymous,EN,50,30,20,30,20,15,30,5,25,20,20,15,20,1,8,7,2,3,6,4,5,9,7,No
2018-07-26 12:46:15,2018-07-26 12:50:49,IP Address,134.223.116.151,100,274,True,2018-07-26 12:50:49,R_1dcBis6uz3PATTW,,,,,39.16259765625,-76.63159942627,anonymous,EN,40,20,40,40,10,5,40,5,20,10,30,30,10,10,4,6,3,5,7,1,2,8,9,No
2018-07-27 08:49:00,2018-07-27 08:53:54,IP Address,76.90.65.89,100,294,True,2018-07-27 08:53:54,R_290blwYVsL87yUy,,,,,34.00390625,-118.43379974365,anonymous,EN,40,40,20,80,0,0,15,5,40,20,0,20,20,3,7,1,8,6,5,9,2,10,4,Yes
2018-07-27 12:41:01,2018-07-27 12:49:11,IP Address,104.175.7.153,100,489,True,2018-07-27 12:49:11,R_1BWscomeaTsaho6,,,,,34.130004882812,-118.33860015869,anonymous,EN,25,75,0,0,0,0,80,20,0,40,0,35,15,5,3,2,10,8,6,4,1,9,7,Yes
2018-07-31 11:14:42,2018-07-31 11:22:01,IP Address,204.128.192.31,100,438,True,2018-07-31 11:22:02,R_3dDK2lcZrJ9HhtF,,,,,34.171798706055,-118.29150390625,anonymous,EN,60,40,0,50,0,0,40,10,20,20,30,10,20,5,3,2,9,8,10,4,1,7,6,Yes
2018-08-01 21:27:29,2018-08-01 21:31:01,IP Address,96.230.113.14,100,212,True,2018-08-01 21:31:02,R_1ClqaoQnmVduW4n,,,,,42.415496826172,-71.175598144531,anonymous,EN,50,30,20,60,0,10,30,0,50,15,10,20,5,10,8,2,1,3,4,5,6,7,9,No
